Index,Time,Difference,Hz,AveHz,0x6103-X,0x6103-Y,0x6103-Z,0x6817-X,0x6817-Y,0x6817-Z,
0,0.0,0.0,0,0,2268,2959,1590,3624,2961,1538,
1,0.1176140308380127,0.1176140308380127,8.502386942058628,8.502386942058628,2225,3019,1787,3615,2935,1660,
2,0.22363781929016113,0.10602378845214844,9.43184557540432,8.943031220515882,2199,3075,1944,3611,2932,1779,
3,0.329822301864624,0.10618448257446289,9.417571906504705,9.095806993765247,2186,3117,2025,3614,2922,1889,
4,0.43572115898132324,0.10589885711669922,9.442972542168349,9.180183054115709,2176,3132,2044,3628,2933,1987,
5,0.5453410148620605,0.1096198558807373,9.122434908945385,9.168575008547098,2166,3138,2032,3637,2946,2040,
6,0.6478941440582275,0.10255312919616699,9.751043267408907,9.260772079861194,2156,3130,2026,3643,2944,2050,
7,0.7548587322235107,0.1069645881652832,9.348888423286272,9.273258294808103,2165,3131,2020,3638,2944,2047,
8,0.8621931076049805,0.10733437538146973,9.31667973513582,9.278663827669165,2172,3130,2019,3620,2925,2044,
9,0.9642105102539062,0.10201740264892578,9.80224916567732,9.334061290858594,2182,3144,2020,3618,2924,2032,
10,1.0683116912841797,0.10410118103027344,9.60603895271075,9.360564039114234,2190,3148,2022,3629,2916,2025,
11,1.172804594039917,0.1044929027557373,9.570027950487708,9.379226561612198,2189,3139,2022,3623,2916,2025,
12,1.2736706733703613,0.10086607933044434,9.914135719739141,9.421587739196228,2188,3142,2024,3637,2908,2023,
13,1.3749582767486572,0.1012876033782959,9.872876508541044,9.454832353706689,2190,3132,2024,3642,2914,2026,
14,1.4785635471343994,0.10360527038574219,9.652018630681713,9.468649505889259,2185,3123,2026,3655,2941,2025,
15,1.581326961517334,0.10276341438293457,9.731089668484831,9.48570432619894,2190,3114,2026,3648,2947,2025,
16,1.689225435256958,0.10789847373962402,9.26797168987911,9.471796757290804,2186,3117,2027,3644,2943,2026,
17,1.7954819202423096,0.10625648498535156,9.411190292412357,9.468210071258062,2185,3111,2027,3648,2960,2026,
18,1.8994724750518799,0.10399055480957031,9.616257955650116,9.476315259323972,2183,3115,2026,3651,2973,2028,
19,2.0078439712524414,0.10837149620056152,9.227518628600594,9.462886694402,2164,3116,2022,3641,2998,2029,
20,2.1097867488861084,0.10194277763366699,9.809424691109713,9.479631062503962,2150,3082,2024,3590,3058,2025,
21,2.2121007442474365,0.10231399536132812,9.773833936094851,9.493238522074755,2146,3039,2025,3561,3141,2027,
22,2.3162310123443604,0.10413026809692383,9.603355664744914,9.498189033283353,2152,2975,2030,3532,3211,2028,
23,2.424196243286133,0.10796523094177246,9.262241105558488,9.487680736944887,2202,2841,2035,3509,3287,2028,
24,2.529721260070801,0.10552501678466797,9.476425879567287,9.487211250827016,2241,2739,2032,3479,3356,2032,
25,2.6366796493530273,0.10695838928222656,9.349430247695134,9.481622087133092,2271,2655,2025,3444,3457,2026,
26,2.7406725883483887,0.10399293899536133,9.616037489281899,9.486722387247424,2286,2609,2029,3383,3556,2028,
27,2.844815254211426,0.10414266586303711,9.602212423822017,9.490950233070343,2366,2554,2019,3323,3666,2026,
28,2.9488742351531982,0.10405898094177246,9.609934586612594,9.495148916903661,2472,2485,2023,3238,3752,2032,
29,3.0594964027404785,0.11062216758728027,9.03977947467903,9.478684130507187,2583,2394,2017,3154,3804,2029,
30,3.1656930446624756,0.10619664192199707,9.41649360941671,9.476597881333307,2727,2325,2031,3060,3868,2029,
31,3.2740306854248047,0.1083376407623291,9.230402221826097,9.468451269563394,2866,2295,2026,2954,3920,2023,
32,3.3828680515289307,0.10883736610412598,9.188020950849623,9.459428955716197,3012,2315,2023,2853,3909,2041,
33,3.492967367172241,0.11009931564331055,9.082708590484852,9.447554623653815,3159,2326,2025,2757,3846,2043,
34,3.596417188644409,0.10344982147216797,9.666522240147499,9.453853159014502,3305,2348,2023,2654,3736,2036,
35,3.699354887008667,0.10293769836425781,9.714613945042524,9.461109049827153,3458,2383,2027,2556,3624,2037,
36,3.806853771209717,0.1074988842010498,9.30242213611957,9.45662800926555,3589,2449,2024,2456,3488,2031,
37,3.9152817726135254,0.1084280014038086,9.222709881701043,9.450149988898959,3705,2538,2029,2372,3355,2035,
38,4.022559404373169,0.10727763175964355,9.321607716327188,9.446721895191377,3774,2666,2020,2280,3238,2018,
39,4.127562046051025,0.10500264167785645,9.523569921868791,9.448676861759736,3815,2797,2029,2204,3112,2002,
40,4.233669996261597,0.10610795021057129,9.424364508177751,9.448067524233274,3793,2931,2018,2161,2999,2006,
41,4.340296268463135,0.10662627220153809,9.378551639785968,9.446359756108949,3752,3079,2027,2127,2897,1988,
42,4.4471070766448975,0.1068108081817627,9.362348408583093,9.444341967966901,3688,3207,2022,2205,2680,2045,
43,4.5526416301727295,0.10553455352783203,9.47556953217484,9.445065852540772,3602,3325,2019,2275,2511,2029,
44,4.656027555465698,0.10338592529296875,9.672496494723637,9.450115892967283,3529,3415,2034,2357,2352,2055,
45,4.761197566986084,0.10517001152038574,9.508413905670857,9.451403636771524,3400,3528,2016,2452,2221,2057,
46,4.871862411499023,0.11066484451293945,9.036293363093058,9.441974365168138,3279,3601,2020,2547,2131,2065,
47,4.977869510650635,0.10600709915161133,9.433330484497082,9.441790287880979,3153,3660,2034,2643,2072,2051,
48,5.08540940284729,0.10753989219665527,9.298874860050326,9.438768090750981,3029,3706,2033,2716,2054,2037,
49,5.1917219161987305,0.10631251335144043,9.406230447156021,9.438101807247174,2878,3733,2034,2801,2073,2030,
50,5.297332048416138,0.10561013221740723,9.468788448644464,9.438713590730947,2721,3744,2037,2889,2148,2027,
51,5.399311542510986,0.10197949409484863,9.805892928532518,9.445648690292487,0,0,0,0,0,0,
52,5.4801928997039795,0.08088135719299316,12.36378857508379,9.48871708563559,2429,3712,2051,3012,2224,2030,
53,5.587399482727051,0.10720658302307129,9.327785400872221,9.485629256301575,2307,3642,2049,3128,2317,2020,
54,5.690464019775391,0.10306453704833984,9.702658437508674,9.489560045075454,2149,3581,2057,3243,2414,2028,
55,5.797148704528809,0.10668468475341797,9.373416646553496,9.48742266297797,2012,3499,2020,3327,2527,2038,
56,5.905377149581909,0.10822844505310059,9.239715118417951,9.482882901723679,1884,3441,1997,3386,2649,2029,
57,6.010072231292725,0.10469508171081543,9.551547060846278,9.484079027073474,1812,3377,1985,3423,2760,2018,
58,6.113538026809692,0.10346579551696777,9.665029829457078,9.487141446679919,1842,3237,2065,3440,2863,2018,
59,6.215211868286133,0.10167384147644043,9.835371472924205,9.492838096325341,1914,3165,1997,3465,2931,2015,
60,6.322054624557495,0.1068427562713623,9.359548881911762,9.490585507903553,1947,3078,2021,3469,2975,2011,
61,6.429586172103882,0.10753154754638672,9.29959647022305,9.48739131371493,1978,3022,2055,3463,2996,2008,
62,6.533916711807251,0.10433053970336914,9.584921182648756,9.488948625249783,2024,2988,2054,3473,3005,2013,
63,6.639057874679565,0.10514116287231445,9.511022825707379,9.489298209053599,2055,2962,2070,3500,3004,2004,
64,6.743979215621948,0.10492134094238281,9.53094948099402,9.489946210354349,2068,2917,2071,3512,3005,2010,
65,6.851684331893921,0.10770511627197266,9.284610003807433,9.486718425925046,2093,2906,2080,3513,2989,2004,
66,6.959619760513306,0.10793542861938477,9.264798526221853,9.483276712107642,2108,2887,2060,3514,2975,2005,
67,7.068018913269043,0.1083991527557373,9.225164353944384,9.479318154372582,2112,2881,2074,3516,2967,2007,
68,7.172059535980225,0.10404062271118164,9.61163028383649,9.481237524432549,2122,2886,2063,3521,2964,2007,
69,7.2788732051849365,0.10681366920471191,9.362097636431411,9.479489208693655,2120,2910,2071,3512,2947,2002,
70,7.384180545806885,0.10530734062194824,9.496014181860168,9.47972487478649,2125,2923,2063,3526,2956,2006,
71,7.493693113327026,0.1095125675201416,9.13137206664504,9.474634059103822,2135,2930,2064,3540,2954,2012,
72,7.600388288497925,0.10669517517089844,9.37249503923917,9.473200219120576,2127,2943,2067,3543,2958,1997,
73,7.706702709197998,0.10631442070007324,9.406061693372056,9.472274039178135,2118,2940,2061,3554,2982,2000,
74,7.8142313957214355,0.1075286865234375,9.29984390520789,9.469901293237564,2122,2921,2072,3522,3005,1979,
75,7.921937942504883,0.10770654678344727,9.28448668965853,9.467380399130635,2139,2877,2086,3494,3103,1952,
76,8.025725603103638,0.10378766059875488,9.63505675174643,9.469548768351855,2159,2837,2082,3489,3140,1978,
77,8.137014389038086,0.11128878593444824,8.985631315890389,9.462930298332989,2166,2792,2087,3467,3200,1962,
78,8.243882894515991,0.10686850547790527,9.357293765156534,9.461560892851509,2167,2741,2095,3468,3248,1991,
79,8.351872205734253,0.10798931121826172,9.26017574071621,9.45895699239267,2190,2691,2103,3461,3301,2000,
80,8.460735559463501,0.10886335372924805,9.185827606295144,9.455442666627064,2204,2646,2115,3470,3332,2006,
81,8.566277980804443,0.10554242134094238,9.474863162079801,9.455681940453845,2237,2573,2118,3439,3391,2015,
82,8.671741247177124,0.10546326637268066,9.481974476935424,9.456001702852138,2277,2494,2147,3386,3454,1998,
83,8.777991533279419,0.10625028610229492,9.41173936263312,9.455465944040569,2293,2404,2164,3305,3520,1985,
84,8.88370680809021,0.10571527481079102,9.459370954573954,9.455512413298345,2358,2320,2159,3228,3573,1991,
85,8.994227170944214,0.1105203628540039,9.048106377654479,9.450506239668027,2413,2214,2146,3124,3586,2043,
86,9.099706172943115,0.10547900199890137,9.480559931828097,9.450854606241098,2467,2117,2123,3011,3598,2022,
87,9.206902027130127,0.10719585418701172,9.328718984368745,9.449432582603322,2536,2031,2089,2909,3606,2033,
88,9.31268572807312,0.10578370094299316,9.453252165368085,9.449475969614623,2633,2008,2222,2814,3626,2046,
89,9.42035984992981,0.10767412185668945,9.287282614953346,9.447622109750206,2729,1977,2007,2712,3623,2029,
90,9.525688409805298,0.10532855987548828,9.494101136312192,9.448136043097758,2812,1955,2087,2588,3548,2041,
91,9.637417793273926,0.11172938346862793,8.9501970650432,9.442363291908963,2925,2017,2069,2469,3519,2095,
92,9.744717121124268,0.1072993278503418,9.319722872773005,9.441012895137359,3019,2055,1929,2230,3458,2311,
93,9.852672338485718,0.1079552173614502,9.263100241388525,9.439063515461775,3110,2129,2039,2086,3411,2106,
94,9.958328485488892,0.10565614700317383,9.464664653822373,9.439335139122516,3202,2254,1926,1948,3342,2003,
95,10.064183712005615,0.10585522651672363,9.446864674575272,9.439414334882821,3272,2411,1923,1847,3232,2246,
96,10.172935009002686,0.10875129699707031,9.195292632022028,9.436804610964625,3376,2459,1861,1779,3100,2117,
97,10.276347160339355,0.10341215133666992,9.670043482069985,9.439151722546201,3376,2459,1861,1705,2810,2621,
98,10.378371477127075,0.10202431678771973,9.801584871974033,9.442714612401618,3235,2826,1697,1639,2671,2309,
99,10.485395431518555,0.10702395439147949,9.343702591497713,9.441704001206396,3251,2896,1752,1602,2536,2400,
100,10.589219570159912,0.10382413864135742,9.631671527315314,9.443566576123972,3249,3019,1820,1647,2368,2003,
101,10.698739528656006,0.10951995849609375,9.13075583420411,9.440364421385983,3194,3137,1890,1976,2247,4005,
102,10.805859088897705,0.10711956024169922,9.335363193646893,9.439323533729786,3180,3248,1943,1976,2247,4005,
103,10.909275531768799,0.10341644287109375,9.669642198450756,9.441506881007328,3127,3360,1993,2248,2180,1404,
104,11.012663841247559,0.10338830947875977,9.672273442148132,9.443673347266946,3021,3487,2031,2350,2147,1457,
105,11.120336055755615,0.10767221450805664,9.287447133588715,9.442160693125327,2899,3607,2038,2452,2129,1495,
106,11.226684808731079,0.10634875297546387,9.403025160348744,9.441789967913145,2783,3690,2031,2573,2132,1573,
107,11.332391262054443,0.10570645332336426,9.460160364485244,9.44196132358053,2657,3731,2032,2696,2154,1712,
108,11.440634965896606,0.10824370384216309,9.23841262359391,9.440035480717395,2547,3729,2033,2813,2241,1858,
109,11.54358196258545,0.10294699668884277,9.713736506782217,9.442476378067571,2423,3669,2034,2921,2291,1982,
110,11.65178108215332,0.1081991195678711,9.242219382133886,9.440616779908753,2306,3613,2032,2983,2379,2041,
111,11.75775408744812,0.1059730052947998,9.436365395301957,9.440578462046336,2180,3542,2032,3130,2419,2040,
112,11.861491918563843,0.10373783111572266,9.639684859850888,9.44231979998353,2059,3467,2029,3289,2459,2053,
