Index,Time,Difference,Hz,AveHz,Position-X,Position-Y,Position-Z,
602,41.6163969039917,0.07273197174072266,13.74911165016718,14.465452196373548,4532,2221,-304,
603,41.68921136856079,0.0728144645690918,13.73353503205569,14.464173828309503,4580,2222,-201,
604,41.75885057449341,0.06963920593261719,14.359727205499713,14.463999647751974,4627,2226,-110,
605,41.828118562698364,0.06926798820495605,14.436683176666174,14.463954411268432,4667,2241,0,
606,41.89697813987732,0.06885957717895508,14.522308166388521,14.46405031830237,4686,2259,107,
607,41.970707654953,0.0737295150756836,13.56308934045608,14.462467609320077,4691,2276,183,
608,42.04439330101013,0.0736856460571289,13.571164175241053,14.460905539702308,4675,2305,185,
609,42.11128568649292,0.06689238548278809,14.949384638963242,14.461681472606644,4609,2295,26,
610,42.18228340148926,0.07099771499633789,14.08496034064731,14.461047406894615,4522,2286,-127,
611,42.25172424316406,0.06944084167480469,14.400747109072432,14.4609483031655,4470,2255,-267,
612,42.32368588447571,0.07196164131164551,13.896292271451715,14.459988236149373,4410,2274,-285,
613,42.39341592788696,0.06973004341125488,14.341020757755523,14.459792554644324,4390,2279,-281,
614,42.46294069290161,0.06952476501464844,14.38336396806672,14.459667417773549,4367,2262,-268,
615,42.53280758857727,0.06986689567565918,14.312930184307422,14.459426378548454,4363,2260,-237,
616,42.59989547729492,0.06708788871765137,14.905820098298785,14.460129375864746,4367,2260,-187,
617,42.67275261878967,0.07285714149475098,13.72549045273819,14.458875093244453,4370,2242,-125,
618,42.744335412979126,0.07158279418945312,13.969837463362643,14.458056115017923,4394,2226,-75,
619,42.813072681427,0.06873726844787598,14.548148662007248,14.458200760454462,4373,2204,-11,
620,42.884687423706055,0.07161474227905273,13.963605371969612,14.457374817130477,4459,2246,83,
621,42.954204082489014,0.06951665878295898,14.38504119022958,14.457257753104564,4477,2268,246,
622,43.02540850639343,0.07120442390441895,14.044071213080063,14.456573954610398,4489,2312,412,
623,43.0915412902832,0.06613278388977051,15.121093369769378,14.457593795571231,4553,2359,532,
624,43.158632040023804,0.06709074974060059,14.905184453391803,14.458289582054507,4512,2395,706,
625,43.22669076919556,0.06805872917175293,14.693192367380254,14.458659427276606,4514,2421,798,
626,43.29620003700256,0.06950926780700684,14.38657076314643,14.45854369355733,4528,2440,836,
627,43.36700987815857,0.07080984115600586,14.12233079010633,14.457994723675503,4547,2452,847,
628,43.439956188201904,0.07294631004333496,13.708712605283715,14.456736495755536,4553,2469,872,
629,43.51088809967041,0.07093191146850586,14.098026957077073,14.456151723659362,4591,2496,881,
630,43.57909893989563,0.06821084022521973,14.660426358892265,14.456471458230403,4619,2523,886,
631,43.65264558792114,0.0735466480255127,13.596812728339552,14.45502309199331,4632,2532,886,
632,43.72497344017029,0.07232785224914551,13.82593245760058,14.453982479023747,4641,2550,865,
633,43.7933554649353,0.06838202476501465,14.623726095218172,14.454247528642417,4647,2542,870,
634,43.86134696006775,0.06799149513244629,14.707721870978375,14.454640450901024,4650,2545,868,
635,43.93453526496887,0.07318830490112305,13.663385172685635,14.453322339028272,4635,2540,860,
636,44.00627899169922,0.07174372673034668,13.93850090557134,14.452483022251595,4637,2533,855,
637,44.076009035110474,0.06973004341125488,14.341020757755523,14.452306684404494,4635,2529,862,
638,44.142616271972656,0.06660723686218262,15.013383636812698,14.45315329905091,4626,2519,863,
639,44.21323037147522,0.07061409950256348,14.161477764985127,14.452687456473656,4628,2510,862,
640,44.28048086166382,0.06725049018859863,14.869780089268938,14.45332091129311,4637,2496,855,
641,44.34665250778198,0.06617164611816406,15.112212838324734,14.454304073740783,4639,2493,842,
642,44.418214559555054,0.07156205177307129,13.973886651141251,14.453530074677342,4627,2498,847,
643,44.48984622955322,0.07163166999816895,13.960305546772288,14.452735949733967,4600,2510,827,
644,44.55993890762329,0.07009267807006836,14.266825402224566,14.452443512884278,4608,2516,832,
645,44.62667179107666,0.06673288345336914,14.985116006545242,14.45324004935029,4614,2526,841,
646,44.69828391075134,0.07161211967468262,13.964116752063337,14.45245641398364,4611,2528,841,
647,44.77222228050232,0.07393836975097656,13.52477750548175,14.450924413500902,4598,2530,838,
648,44.840874671936035,0.06865239143371582,14.566134975290764,14.451100803471954,4605,2531,845,
649,44.91166853904724,0.07079386711120605,14.125517376090741,14.450587589186192,4588,2536,840,
650,44.983874797821045,0.07220625877380371,13.849214970860643,14.449622290685486,4578,2544,833,
651,45.05567955970764,0.07180476188659668,13.926652964594865,14.448788839979583,4558,2544,834,
652,45.12274384498596,0.06706428527832031,14.911066238161599,14.449475905983723,4554,2548,835,
653,45.19285321235657,0.07010936737060547,14.263429232129498,14.449187284804086,4563,2550,854,
654,45.26380681991577,0.0709536075592041,14.093716082943269,14.44863006335217,4551,2544,850,
655,45.33284544944763,0.06903862953186035,14.484644419810131,14.448684910600091,4532,2535,848,
656,45.407201528549194,0.0743560791015625,13.448799507490252,14.447047558910858,4537,2528,838,
657,45.47508144378662,0.06787991523742676,14.731898183759558,14.4474727508106,4534,2531,845,
658,45.54473519325256,0.06965374946594238,14.356728929416153,14.447333971929263,4536,2535,855,
659,45.6181161403656,0.07338094711303711,13.62751557920866,14.446015218433756,4552,2521,885,
660,45.6902289390564,0.0721127986907959,13.867163917570084,14.445101618561303,4509,2527,887,
661,45.75949430465698,0.06926536560058594,14.437229794850612,14.445089703116091,4477,2533,892,
662,45.82875895500183,0.06926465034484863,14.437378879721324,14.445078049135088,4484,2508,921,
663,45.895971059799194,0.06721210479736328,14.87827234416902,14.445712438160596,4463,2511,921,
664,45.96618628501892,0.07021522521972656,14.241925406785647,14.445401145154557,4460,2495,914,
665,46.0352680683136,0.06908178329467773,14.475596203623814,14.445446456685765,4454,2495,903,
666,46.10654282569885,0.0712747573852539,14.030212612226876,14.44480455881817,4438,2492,880,
667,46.176905155181885,0.07036232948303223,14.212150270566989,14.444450050484827,4442,2492,857,
668,46.25409173965454,0.07718658447265625,12.955619254719778,14.44196556187721,4440,2487,844,
669,46.32356309890747,0.06947135925292969,14.394421107541937,14.441894259549697,4451,2476,836,
670,46.391606092453,0.06804299354553223,14.696590315810129,14.442267824588116,4447,2471,818,
671,46.46181035041809,0.07020425796508789,14.244150269308356,14.441968466989834,4456,2464,815,
672,46.53454375267029,0.07273340225219727,13.748841234355844,14.440885110460306,4453,2467,806,
673,46.60476732254028,0.07022356986999512,14.240233042143824,14.440582770048616,4440,2465,799,
674,46.67070126533508,0.0659339427947998,15.166694992171312,14.441608583683681,4443,2480,806,
