Index,Time,Difference,Hz,AveHz,0x6103 Linear-Acceleration-X,0x6103 Linear-Acceleration-Y,0x6103 Linear-Acceleration-Z,0x6103 Range,0x6103 Smoothed Range,0x6103 Velocity,
0,1.1920928955078125e-06,1.1920928955078125e-06,838860.8,0.0,-5.0,2.0,-13.0,358,327.5,12792627.2,
1,0.029319047927856445,0.029317855834960938,34.1089063821482,34.107519536808894,-3.0,16.0,-19.0,368,347.75,6396658.952677119,
2,0.05760526657104492,0.028286218643188477,35.3529049822574,34.71904773729999,0.0,11.0,-6.0,344,345.875,3198296.3329901383,
3,0.08617401123046875,0.028568744659423828,35.003288101079896,34.8132802124834,2.0,4.0,-3.0,410,377.9375,1599709.3129574396,
4,0.11485123634338379,0.02867722511291504,34.870877362176905,34.82766165477528,1.0,9.0,-6.0,368,372.96875,799768.0241427731,
5,0.14389824867248535,0.029047012329101562,34.42694858493663,34.74677451690241,10.0,6.0,-2.0,354,363.484375,399720.75302614394,
6,0.1706221103668213,0.026723861694335938,37.41974163157519,35.16543071176749,16.0,1.0,2.0,377,370.2421875,199986.8143119443,
7,0.19730830192565918,0.02668619155883789,37.472563209148575,35.47747323190397,18.0,-16.0,1.0,372,371.12109375,100009.87459097616,
8,0.22461795806884766,0.027309656143188477,36.617084988432495,35.616030297755266,18.0,-17.0,2.0,377,374.060546875,50058.7543979369,
9,0.2512331008911133,0.026615142822265625,37.572595671492046,35.82330500271412,8.0,4.0,-1.0,358,366.0302734375,24878.518090469093,
10,0.2955751419067383,0.044342041015625,22.55196145905024,33.83234440992086,0.0,15.0,-4.0,363,364.51513671875,12422.174392791325,
11,0.32031702995300293,0.02474188804626465,40.41728740062636,34.34097775448881,0.0,10.0,1.0,335,349.757568359375,5912.856755538038,
12,0.3482930660247803,0.027976036071777344,35.744878131924324,34.45374361586121,7.0,-4.0,7.0,349,349.3787841796875,2949.6585805984037,
