Index,Time,Difference,Hz,AveHz,0x6103 Linear-Acceleration-X,0x6103 Linear-Acceleration-Y,0x6103 Linear-Acceleration-Z,0x6103 Range,0x6103 Smoothed Range,0x6103 Velocity,
0,0.0,0.0,0,0,-16.0,-17.0,7.0,1499,1501.5,,
1,0.028835773468017578,0.028835773468017578,34.67914606518612,34.67914606518612,45.0,29.0,36.0,1475,1488.25,-229.74934268185802,
2,0.05383491516113281,0.024999141693115234,40.00137333816545,37.15061116031887,22.0,40.0,34.0,1424,1456.125,-757.3967305852116,
3,0.07921886444091797,0.025383949279785156,39.39497313746853,37.869767777817906,-12.0,18.0,6.0,1355,1405.5625,-1374.652529924232,
4,0.10476970672607422,0.02555084228515625,39.13765303075545,38.17897486778507,-8.0,-2.0,3.0,1372,1388.78125,-1015.7156349232985,
5,0.13384389877319336,0.02907419204711914,34.39476489593755,37.35695123819431,0.0,-15.0,-3.0,1433,1410.890625,-127.63443990108965,
6,0.16270995140075684,0.028866052627563477,34.64276923839336,36.87543354506891,-16.0,2.0,2.0,1569,1489.9453125,1305.5194281873555,
7,0.19186997413635254,0.029160022735595703,34.29352607394568,36.48304030637667,-3.0,6.0,3.0,1569,1529.47265625,1330.5257108558972,
8,0.21945977210998535,0.027589797973632812,36.245281714483234,36.45315003786064,4.0,2.0,1.0,1359,1444.236328125,-879.4445071714292,
9,0.2455606460571289,0.026100873947143555,38.31289335464718,36.65082391869167,0.0,8.0,-9.0,1438,1441.1181640625,-499.4551971801426,
10,0.2730097770690918,0.02744913101196289,36.43102579692521,36.62872482940146,43.0,30.0,9.0,1504,1472.55908203125,322.98484820919913,
11,0.30118393898010254,0.028174161911010742,35.49351363701754,36.522531836356336,9.0,43.0,6.0,1555,1513.779541015625,893.0218856476178,
12,0.3292689323425293,0.028084993362426758,35.60620389313819,36.4443736450566,-23.0,39.0,-14.0,1355,1434.3897705078125,-966.8732350415019,
13,0.3563117980957031,0.027042865753173828,36.97832948353993,36.48489909533751,-34.0,11.0,-22.0,1313,1373.6948852539062,-1605.634349963048,
14,0.3851766586303711,0.02886486053466797,34.644199953745,36.34695843144246,-1.0,-24.0,-26.0,1345,1359.3474426269531,-1051.3450105780482,
15,0.41247081756591797,0.027294158935546875,36.637875611460515,36.36620910181801,7.0,-1.0,-12.0,1386,1372.6737213134766,-281.5492348487726,
16,0.4401688575744629,0.027698040008544922,36.10363764697781,36.34968654567594,27.0,48.0,9.0,1475,1423.8368606567383,782.8131044410914,
17,0.46877288818359375,0.02860403060913086,34.96010802340507,36.264895919795585,6.0,53.0,-7.0,1654,1538.9184303283691,2403.0386058321615,
18,0.500626802444458,0.03185391426086426,31.39331611840874,35.95492672807307,-6.0,43.0,-3.0,1228,1383.4592151641846,-1238.6708396684032,
19,0.5304567813873291,0.029829978942871094,33.52332235685284,35.81818663965118,16.0,19.0,-2.0,1396,1389.7296075820923,-514.2332266694585,
20,0.5582478046417236,0.02779102325439453,35.98284204385573,35.82638361262477,-2.0,0.0,-8.0,1485,1437.3648037910461,599.9082571227018,
21,0.5865609645843506,0.028313159942626953,35.319265035283024,35.80190511804862,-37.0,4.0,-25.0,1438,1437.682401895523,305.56279437471295,
22,0.6126236915588379,0.026062726974487305,38.36897040662306,35.91111526232424,-25.0,23.0,-6.0,1461,1449.3412009477615,376.4494550934078,
23,0.6374998092651367,0.024876117706298828,40.19919875788303,36.07844216692821,3.0,15.0,0.0,1363,1406.1706004738808,-679.4870469266424,
24,0.6622767448425293,0.024776935577392578,40.36011624102692,36.23862711004072,27.0,14.0,11.0,1317,1361.5853002369404,-1239.4774735653207,
25,0.6874969005584717,0.025220155715942383,39.65082576266059,36.363800301778596,32.0,32.0,15.0,1374,1367.7926501184702,-496.6754624824552,
26,0.7186696529388428,0.031172752380371094,32.07929758007771,36.17795727658552,4.0,48.0,18.0,,1367.7926501184702,-496.6754624824552,
27,0.7417087554931641,0.02303910255432129,43.40446845280598,36.40242858134744,-42.0,33.0,4.0,1480,1423.896325059235,969.2373632852282,
28,0.7685666084289551,0.026857852935791016,37.23305814469596,36.4314552478873,-21.0,20.0,7.0,1447,1435.4481625296175,699.6737997490277,
29,0.7964589595794678,0.027892351150512695,35.85212284915676,36.41116676659908,-2.0,0.0,16.0,1461,1448.2240812648088,578.8588038769735,
30,0.8245058059692383,0.028046846389770508,35.654632471076276,36.38543207677458,-9.0,-26.0,-3.0,1447,1447.6120406324044,278.518360035615,
31,0.8526108264923096,0.02810502052307129,35.58083151652938,36.35890964173631,-4.0,11.0,18.0,1551,1499.3060203162022,1058.9165707918587,
