Index,Time,Difference,Hz,AveHz,0x6829 Range,0x6829 Smoothed Range,
0,0.0,0.0,0,0,124,24.8,
1,0.009016990661621094,0.009016990661621094,110.90174510840825,110.90174510840825,124,44.64,
2,0.01846623420715332,0.009449243545532227,105.8285771957712,108.30578544407577,124,60.512,
3,0.026900053024291992,0.008433818817138672,118.57024933567027,111.52394373687149,147,77.8096,
4,0.0350041389465332,0.008104085922241211,123.39454561501574,114.27220095628601,133,88.84768,
5,0.044777870178222656,0.009773731231689453,102.31507049812167,111.66230059847081,124,95.87814399999999,
6,0.054729461669921875,0.009951591491699219,100.48643986583613,109.63016658534886,114,99.50251519999999,
7,0.06323742866516113,0.008507966995239258,117.53689225164635,110.69393787442928,147,109.00201216,
8,0.07177615165710449,0.00853872299194336,117.11353102138828,111.45763342423709,133,113.80160972800002,
9,0.08147430419921875,0.009698152542114258,103.11242225336186,110.46427568124356,133,117.64128778240001,
10,0.09194517135620117,0.010470867156982422,95.50307391046951,108.7604694460723,175,129.11303022592,
11,0.10145401954650879,0.009508848190307617,105.1652082340847,108.42350110098255,124,128.09042418073602,
12,0.1109626293182373,0.009508609771728516,105.16784514317236,108.14451742653267,166,135.6723393445888,
13,0.12050628662109375,0.009543657302856445,104.78163331584601,107.87818930041152,124,133.33787147567105,
14,0.12897801399230957,0.00847172737121582,118.03968142290266,108.54563166738451,114,129.47029718053685,
15,0.13874077796936035,0.009762763977050781,102.43000879163817,108.11529400038837,114,126.37623774442947,
16,0.14827418327331543,0.009533405303955078,104.89431300955334,107.90819849270068,166,134.3009901955436,
17,0.15680885314941406,0.008534669876098633,117.16914825264686,108.41224623842945,166,140.64079215643488,
18,0.16562652587890625,0.008817672729492188,113.40860912827169,108.6782440462481,133,139.1126337251479,
19,0.17531085014343262,0.009684324264526367,103.25965681085206,108.37891656138184,128,136.89010698011833,
20,0.18481993675231934,0.009509086608886719,105.16257145722595,108.2134338504962,114,132.3120855840947,
21,0.1933281421661377,0.00850820541381836,117.5335986100992,108.62360629293961,166,139.04966846727575,
22,0.20233654975891113,0.009008407592773438,111.00741054414567,108.7297377869373,157,142.6397347738206,
23,0.21233010292053223,0.009993553161621094,100.06450997232561,108.32189917323264,119,137.91178781905649,
24,0.22106289863586426,0.008732795715332031,114.51086600414983,108.56638607427699,138,137.9294302552452,
25,0.2292325496673584,0.00816965103149414,122.40424910990487,109.0595556184222,147,139.74354420419616,
26,0.23752498626708984,0.008292436599731445,120.59181737155343,109.46216820643772,133,138.39483536335692,
27,0.24719595909118652,0.00967097282409668,103.4022138401992,109.22508644261512,161,142.91586829068552,
28,0.2572019100189209,0.010005950927734375,99.94052611513534,108.863888288933,152,144.73269463254843,
29,0.2667112350463867,0.00950932502746582,105.15993481258619,108.73182749484208,128,141.38615570603875,
30,0.27621984481811523,0.009508609771728516,105.16784514317236,108.60914073626516,ranging-error,141.38615570603875,
31,0.28297853469848633,0.006758689880371094,147.95766897135601,109.54894523371006,161,145.308924564831,
32,0.29248881340026855,0.009510278701782227,105.14938955601795,109.40589360663262,128,141.8471396518648,
33,0.30199742317199707,0.009508609771728516,105.16784514317236,109.27245555073978,119,137.27771172149187,
34,0.311506986618042,0.009509563446044922,105.15729830015545,109.14682963977789,138,137.4221693771935,
35,0.321028470993042,0.009521484375,105.02564102564102,109.0245980106811,175,144.93773550175482,
36,0.331038236618042,0.010009765625,99.90243902439025,108.74876681251013,175,150.95018840140386,
37,0.341048002243042,0.010009765625,99.90243902439025,108.48912691660509,157,152.1601507211231,
38,0.3505568504333496,0.009508848190307617,105.1652082340847,108.39896568281394,128,147.3281205768985,
39,0.3605208396911621,0.0099639892578125,100.3614088820827,108.17682559878952,133,144.4624964615188,
40,0.37050366401672363,0.009982824325561523,100.17205225573787,107.96114555615974,91,133.76999716921506,
41,0.38005661964416504,0.009552955627441406,104.6796446041729,107.87866302233336,114,129.81599773537206,
42,0.3890655040740967,0.00900888442993164,111.00153496003811,107.95097370544882,138,131.45279818829766,
43,0.3985743522644043,0.009508848190307617,105.1652082340847,107.88451328015925,157,136.56223855063814,
44,0.4085845947265625,0.010010242462158203,99.89768017910733,107.68883743511222,128,134.8497908405105,
45,0.4180939197540283,0.00950932502746582,105.15993481258619,107.63131888278657,142,136.27983267240842,
46,0.427600622177124,0.009506702423095703,105.18894517730853,107.57701840046792,133,135.62386613792674,
47,0.43712806701660156,0.009527444839477539,104.9599359375391,107.51997765957911,138,136.0990929103414,
48,0.44705677032470703,0.009928703308105469,100.71808663913168,107.36891416527828,128,134.47927432827314,
49,0.45656514167785645,0.009508371353149414,105.17048218449888,107.32312988224899,161,139.7834194626185,
50,0.46657514572143555,0.010010004043579102,99.90005954507562,107.1638737264673,171,146.0267355700948,
51,0.47658467292785645,0.010009527206420898,99.90481861705929,107.01141454400104,138,144.42138845607585,
52,0.48609375953674316,0.009509086608886719,105.16257145722595,106.97524701727711,138,143.1371107648607,
53,0.4951016902923584,0.009007930755615234,111.01328675030437,107.04871552489229,124,139.30968861188856,
54,0.5046107769012451,0.009509086608886719,105.16257145722595,107.0131722742974,142,139.84775088951085,
55,0.5126185417175293,0.00800776481628418,124.87879238991276,107.2922563739548,114,134.6782007116087,
56,0.522127628326416,0.009509086608886719,105.16257145722595,107.25347015153687,128,133.34256056928697,
57,0.5316367149353027,0.009509086608886719,105.16257145722595,107.21607142376648,157,138.0740484554296,
58,0.5416460037231445,0.010009288787841797,99.90719832309085,107.08100789320318,142,138.85923876434367,
