Index,Time,Difference,Hz,AveHz,0x6103-X,0x6103-Y,0x6103-Z,0x6817-X,0x6817-Y,0x6817-Z,
0,0.0,0.0,0,0,2443,2944,1304,3779,2917,1288,
1,0.16385650634765625,0.16385650634765625,6.102900777576012,6.102900777576012,2394,2892,1250,3760,2880,1319,
2,0.3392829895019531,0.17542648315429688,5.700393589492683,5.89478418277285,2373,2867,1235,3750,2857,1321,
3,0.5174975395202637,0.17821455001831055,5.611214123073877,5.797129012016353,2360,2856,1235,3747,2850,1329,
4,0.6924660205841064,0.17496848106384277,5.715315089436699,5.776456722924736,2325,2845,1243,3731,2876,1269,
5,0.8684685230255127,0.17600250244140625,5.681737396506134,5.7572610491182035,2333,2865,1215,3741,2871,1306,
6,1.0444719791412354,0.17600345611572266,5.681706610025304,5.744529407991585,2334,2887,1203,3754,2859,1315,
7,1.2111313343048096,0.16665935516357422,6.000263225658779,5.779720003708769,2347,2900,1213,3770,2870,1312,
8,1.385892391204834,0.17476105690002441,5.722098605595354,5.772453944310317,2351,2900,1197,3771,2879,1310,
9,1.5618188381195068,0.17592644691467285,5.68419369308934,5.762512130303387,2365,2890,1212,3767,2884,1326,
10,1.739436388015747,0.17761754989624023,5.630074283673968,5.748988620048042,2391,2900,1275,3779,2906,1333,
11,1.9021632671356201,0.16272687911987305,6.145266260918998,5.7828895079886555,2420,2891,1332,3790,2927,1339,
12,2.0653839111328125,0.16322064399719238,6.126675986018052,5.810057847026751,2437,2876,1370,3773,2968,1391,
13,2.2256972789764404,0.16031336784362793,6.237782996209119,5.840866196313307,2427,2805,1416,3753,3036,1413,
14,2.3848178386688232,0.1591205596923828,6.284543002697033,5.870469338578343,2331,2769,1512,3723,3154,1368,
15,2.5492148399353027,0.1643970012664795,6.082836014624433,5.884164710252781,2379,2585,1465,3629,3251,1332,
16,2.7177157402038574,0.1685009002685547,5.9346863928098434,5.88729710149886,2456,2426,1440,3488,3354,1340,
17,2.88555908203125,0.16784334182739258,5.957936663513195,5.891405969075872,2611,2248,1415,3313,3448,1339,
18,3.0530574321746826,0.16749835014343262,5.970208059623737,5.895729248427096,2783,2113,1351,3123,3491,1393,
19,3.2180824279785156,0.165024995803833,6.059688080154299,5.904137145404047,2959,2038,1274,2915,3494,1471,
20,3.3846635818481445,0.1665811538696289,6.00308004099088,5.9090067642939275,3160,2008,1238,2673,3439,1508,
21,3.5514750480651855,0.16681146621704102,5.994791741107798,5.913036052848134,3351,2049,1252,2440,3338,1503,
22,3.719200611114502,0.1677255630493164,5.962120393693176,5.915249619570115,3511,2138,1230,2255,3190,1463,
23,3.8820087909698486,0.16280817985534668,6.142197528947804,5.924767623788372,3648,2274,1271,2123,3055,1471,
24,4.0519561767578125,0.16994738578796387,5.884174065776201,5.923065046375622,3743,2452,1286,2112,2823,1411,
25,4.219677209854126,0.16772103309631348,5.9622814237362345,5.924623793881203,3793,2694,1296,2172,2585,1377,
26,4.385869979858398,0.16619277000427246,6.0171089270266815,5.928128311920325,3772,2903,1350,2322,2374,1367,
27,4.550592660903931,0.16472268104553223,6.070809397059185,5.933293092121481,3728,3150,1368,2497,2252,1378,
28,4.7230119705200195,0.17241930961608887,5.799814430452212,5.928420290858823,3667,3369,1378,2721,2149,1323,
29,4.887561082839966,0.1645491123199463,6.077212972474857,5.933429681690907,3492,3561,1385,2983,2077,1301,
30,5.052791357040405,0.16523027420043945,6.052159659233564,5.937312245873544,3302,3664,1401,3230,2067,1284,
31,5.216694116592407,0.16390275955200195,6.1011785447256415,5.942460743749623,3091,3693,1408,3456,2092,1267,
32,5.377499341964722,0.16080522537231445,6.218703389051487,5.95072132325143,2883,3640,1414,3647,2119,1288,
33,5.540191888809204,0.16269254684448242,6.146563068779657,5.9564723862106055,2678,3510,1403,0,0,0,
34,5.6556267738342285,0.11543488502502441,8.662892502411347,6.011712116029488,0,0,0,3912,2429,1189,
35,5.780504941940308,0.1248781681060791,8.007804848246487,6.054834370274192,2483,3343,1394,3934,2573,1209,
36,5.949652671813965,0.16914772987365723,5.911991847286023,6.050773378847359,2374,3185,1357,3973,2648,1174,
37,6.115020751953125,0.16536808013916016,6.047116221936436,6.050674478607824,2320,3053,1367,3989,2715,1194,
38,6.279491186141968,0.16447043418884277,6.080120143975623,6.05144571010166,2294,2946,1345,3907,2831,1254,
39,6.439468622207642,0.15997743606567383,6.250881528001741,6.056400347305309,2297,2863,1366,3864,2889,1288,
40,6.602191925048828,0.16272330284118652,6.145401319539173,6.058593941845181,2311,2813,1352,3839,2920,1293,
41,6.766119956970215,0.16392803192138672,6.100237941486174,6.059602883298465,2347,2802,1370,3811,2931,1303,
42,6.932961702346802,0.16684174537658691,5.993703780446851,6.058017021179135,2378,2801,1351,3786,2930,1289,
43,7.095963001251221,0.16300129890441895,6.134920437575054,6.059783568828906,2401,2818,1324,3781,2920,1299,
44,7.25652289390564,0.16055989265441895,6.22820545945649,6.063510119557842,2425,2824,1361,3782,2916,1317,
45,7.41446590423584,0.1579430103302002,6.331397621897742,6.069216661215175,2434,2847,1359,3784,2914,1305,
46,7.5691399574279785,0.15467405319213867,6.465208477842004,6.077308684833854,2425,2863,1348,3784,2897,1306,
47,7.733417749404907,0.1642777919769287,6.087250065671936,6.0775198654717295,2420,2883,1371,3790,2890,1295,
48,7.900043964385986,0.1666262149810791,6.0014566142161545,6.075915553937135,2425,2895,1360,3781,2886,1277,
49,8.062890529632568,0.16284656524658203,6.140749720362855,6.077225012533187,2428,2892,1366,3789,2881,1304,
50,8.228399991989136,0.16550946235656738,6.041950627847715,6.0765154888773205,2427,2890,1370,3786,2878,1325,
51,8.38789963722229,0.1594996452331543,6.269606421620652,6.080187198912289,2432,2882,1381,3786,2877,1316,
52,8.548766136169434,0.16086649894714355,6.216334703278235,6.082749156043748,2435,2881,1363,3788,2873,1295,
53,8.713146924972534,0.16438078880310059,6.083435949427308,6.082762112974133,2434,2884,1366,3792,2881,1302,
54,8.88818073272705,0.1750338077545166,5.713182000830899,6.075484019037476,2468,2834,1320,3785,2880,1296,
55,9.054911851882935,0.1667311191558838,5.9976806073319695,6.0740513988066,2440,2872,1341,3788,2878,1292,
