Index,Time,Difference,Hz,AveHz,0x6103 Linear-Acceleration-X,0x6103 Linear-Acceleration-Y,0x6103 Linear-Acceleration-Z,0x6103 Range,0x6103 Smoothed Range,0x6103 Velocity,
0,0.0,0.0,0,0,25.0,-40.0,170.0,1378,1336.0,,
1,0.027812957763671875,0.027812957763671875,35.95446440817446,35.95446440817446,22.0,-33.0,125.0,1359,1347.5,206.73817034700315,
2,0.05608201026916504,0.028269052505493164,35.37437272811612,35.6620597300457,26.0,-30.0,105.0,1280,1313.75,-493.57345461345795,
3,0.08325672149658203,0.027174711227416992,36.7989190991323,36.03312676830735,22.0,-24.0,67.0,1252,1282.875,-814.8700408995837,
4,0.11060500144958496,0.02734827995300293,36.56537090151429,36.164729872755764,22.0,-19.0,33.0,1205,1243.9375,-1119.3170851886482,
5,0.13976693153381348,0.029161930084228516,34.29128309106071,35.77384110196597,19.0,-12.0,-20.0,1186,1214.96875,-1056.3463461164065,
6,0.16554689407348633,0.02577996253967285,38.789815868083494,36.24350691434052,21.0,-9.0,-47.0,1181,1197.984375,-857.5835625004436,
7,0.1926279067993164,0.027081012725830078,36.9262409099713,36.33949055622942,22.0,-4.0,-88.0,1191,1194.4921875,-493.268459714117,
8,0.2196969985961914,0.027069091796875,36.94250281848929,36.41378831353177,21.0,2.0,-122.0,1186,1190.24609375,-325.0648950205309,
9,0.24886298179626465,0.029165983200073242,34.28651772649614,36.164478682361775,21.0,5.0,-163.0,961,1075.623046875,-2127.5450117826085,
10,0.2759850025177002,0.027122020721435547,36.87040911408428,36.23385295858116,22.0,7.0,-189.0,1410,1242.8115234375,2018.3812591186293,
11,0.3031880855560303,0.027203083038330078,36.760539185612366,36.28110906741802,19.0,0.0,-209.0,723,982.90576171875,-3767.9473395549558,
12,0.33193302154541016,0.028744935989379883,34.78873636627545,36.15187167619097,19.0,-6.0,-241.0,1172,1077.452880859375,-239.38626879045842,
13,0.3572428226470947,0.02530980110168457,39.5103855610087,36.38981436680159,34.0,10.0,-242.0,888,982.7264404296875,-1991.032226494667,
14,0.39043092727661133,0.0331881046295166,30.131277792544594,35.857815101008434,29.0,20.0,-253.0,902,942.3632202148438,-1603.6138136948878,
15,0.4198899269104004,0.029458999633789062,33.94548397539657,35.72364812457343,24.0,16.0,-260.0,971,956.6816101074219,-558.7845695214485,
16,0.44701480865478516,0.027124881744384766,36.866520172277404,35.79299765962848,25.0,4.0,-250.0,999,977.8408050537109,110.64065889753363,
17,0.47977304458618164,0.032758235931396484,30.526674332959722,35.43342043040997,14.0,-26.0,-243.0,1139,1058.4204025268555,1285.2338944206006,
18,0.507469892501831,0.027696847915649414,36.105191574344275,35.47008456257344,28.0,-42.0,-204.0,1181,1119.7102012634277,1749.056909678773,
19,0.5355319976806641,0.028062105178833008,35.635245240057436,35.47873905254423,40.0,36.0,-177.0,1139,1129.3551006317139,1046.3776319916622,
20,0.5632739067077637,0.02774190902709961,36.04654600457209,35.50670421943821,19.0,42.0,-167.0,1177,1153.177550315857,952.5473302363646,
21,0.5891389846801758,0.02586507797241211,38.662168390391386,35.64523914743176,2.0,0.0,-164.0,1144,1148.5887751579285,387.5676661874447,
22,0.6154739856719971,0.02633500099182129,37.97227880532696,35.74480889875401,13.0,-18.0,-123.0,1126,1137.2943875789642,-20.652983948203484,
23,0.6407318115234375,0.02525782585144043,39.59168955719801,35.89645400204806,17.0,-10.0,-93.0,1065,1101.1471937894821,-725.8907294126277,
24,0.6679329872131348,0.027201175689697266,36.76311683758436,35.93174833322268,12.0,-21.0,-47.0,1008,1054.573596894741,-1219.0406568002747,
25,0.6939349174499512,0.026001930236816406,38.458683293599854,36.026433273986505,-49.0,-229.0,-56.0,1004,1029.2867984473705,-1095.7688148983952,
26,0.7189781665802002,0.025043249130249023,39.930920896048136,36.16243330957918,5.0,-38.0,25.0,1027,1028.1433992236853,-570.7128994259872,
27,0.7443509101867676,0.025372743606567383,39.41237161838359,36.27321419305491,-29.0,40.0,63.0,1027,1027.5716996118426,-296.62246849100734,
28,0.7693808078765869,0.025029897689819336,39.95222083575436,36.39290155583314,7.0,31.0,120.0,1079,1053.2858498059213,365.35746933329006,
29,0.7993929386138916,0.030012130737304688,33.31986018430251,36.27752835831223,76.0,-47.0,86.0,1055,1054.1429249029607,196.95754586704422,
