Index,Time,Difference,Hz,AveHz,0x6103 Range,0x6103 Smoothed Range,0x6103 Velocity,
0,9.5367431640625e-07,9.5367431640625e-07,1048576.0,0.0,1400,1260.0,1189085184.0,
1,0.015064001083374023,0.015063047409057617,66.3876288007091,66.38342592152952,1363,1352.7,118914057.11987083,
2,0.030022144317626953,0.01495814323425293,66.85321729705606,66.61749336891091,1419,1412.3700000000001,11894995.930315584,
3,0.04461789131164551,0.014595746994018555,68.51310867541123,67.23760159451965,1410,1410.237,1189368.068416834,
4,0.06024289131164551,0.015625,64.0,66.39787554862532,1410,1410.0237,118924.52076168338,
5,0.07657003402709961,0.0163271427154541,61.24770374264394,65.2996967224855,1400,1401.00237,11395.169903684171,
6,0.09334588050842285,0.016775846481323242,59.60951068032915,64.27707326043814,1410,1409.1002369999999,1573.9558908503607,
7,0.10967087745666504,0.016324996948242188,61.25575417688982,63.827336502946785,1438,1435.1100237,1591.3197793447303,
8,0.12399101257324219,0.014320135116577148,69.8317433361637,64.52080545172059,1419,1420.61100237,-752.1107645934378,
9,0.1395418643951416,0.015550851821899414,64.30515906477578,64.49677334476944,1447,1444.3611002369998,1299.3173625679285,
10,0.15413713455200195,0.014595270156860352,68.51534704412173,64.87729273717784,1443,1443.1361100237,54.394169625889376,
11,0.1696019172668457,0.01546478271484375,64.66304884065121,64.85775737247702,1480,1476.31361100237,1936.2619465376295,
12,0.18538498878479004,0.015783071517944336,63.35902355020468,64.73016007747302,1400,1407.631361100237,-3722.8500654734953,
13,0.20159602165222168,0.01621103286743164,61.686384092714064,64.48539953048589,1461,1455.6631361100237,2294.330863170329,
14,0.21809101104736328,0.0164949893951416,60.62447062224471,64.19338391236855,1424,1427.1663136110024,-1325.4112142602871,
15,0.23351693153381348,0.015425920486450195,64.82595323101653,64.2351708780825,1471,1466.6166313611002,2169.122886648896,
16,0.2488999366760254,0.015383005142211914,65.00680398629903,64.28286087041482,1447,1448.96166313611,-816.011464242757,
17,0.26375603675842285,0.014856100082397461,67.3124167482467,64.45350107975156,1429,1430.9961663136112,-1169.9720547090847,
18,0.27904200553894043,0.015285968780517578,65.41947156627258,64.50641710818729,1415,1416.5996166313612,-964.6304108022542,
19,0.29526591300964355,0.016223907470703125,61.63743240065836,64.34877567252218,1391,1393.5599616631362,-1374.5576991548414,
20,0.31119680404663086,0.015930891036987305,62.77112797258265,64.26801220298884,1378,1379.5559961663137,-928.5960092076937,
21,0.3272581100463867,0.01606130599975586,62.26143752041089,64.16953271845085,1341,1344.8555996166315,-2037.306515461136,
22,0.34265804290771484,0.015399932861328125,64.93534803071587,64.20395042624192,1275,1281.985559961663,-3877.9697666763686,
23,0.35788989067077637,0.015231847763061523,65.65191666536228,64.26557608791958,1485,1464.6985559961663,10408.115573734653,
24,0.3737368583679199,0.015846967697143555,63.103555147667265,64.2163047680289,1846,1807.8698555996166,20530.607684034137,
25,0.39131689071655273,0.017580032348632812,56.882716719106,63.8868410566733,1771,1774.6869855599616,354.2821516500703,
26,0.40770411491394043,0.016387224197387695,61.02314754193764,63.771738005362465,1738,1741.6686985559961,-1777.963604317519,
27,0.42373180389404297,0.01602768898010254,62.39202677575307,63.71955031903042,1738,1738.3668698555996,-363.2033666474329,
28,0.4391191005706787,0.015387296676635742,64.98867351523884,63.76402202411881,1682,1687.63668698556,-3003.5188993831785,
29,0.45494794845581055,0.015828847885131836,63.17579189950445,63.74355593520561,1635,1640.2636686985559,-2993.897040394384,
30,0.4704170227050781,0.015469074249267578,64.64510958355167,63.77320239707421,1612,1614.8263668698555,-1779.347151843031,
31,0.48682379722595215,0.016406774520874023,60.950432318535206,63.6780703339607,1536,1543.8826366869857,-4069.5806376261885,
32,0.5045599937438965,0.017736196517944336,56.38187415144305,63.421595839488006,1522,1524.1882636686985,-1406.3231586704014,
33,0.5227909088134766,0.018230915069580078,54.8518818821437,63.12275030737742,1551,1548.3188263668699,1050.6137815157435,
34,0.5408151149749756,0.018024206161499023,55.480945515152314,62.86806536753921,1494,1499.431882636687,-2336.0030971953556,
35,0.561180830001831,0.02036571502685547,49.102130648560056,62.36848824626779,1499,1499.0431882636688,-250.77745941721085,
36,0.578481912612915,0.017301082611083984,57.79985116996941,62.23185066823172,1494,1494.504318826367,-261.1891261020941,
37,0.5946879386901855,0.016206026077270508,61.70544186662351,62.21750533816675,1466,1468.8504318826367,-1450.8048991235569,

39,0.6252238750457764,0.011262893676757812,88.78712955122778,62.37765631893788,1443,1445.5850431882636,-2004.1808619726314,

41,0.6559779644012451,0.012835979461669922,77.90601433931424,62.50209949875898,1396,1400.9585043188265,-3329.4262855659626,
42,0.6755080223083496,0.019530057907104492,51.203125190746505,62.175427401257764,1438,1434.2958504318826,1203.3360473420573,
43,0.6908469200134277,0.015338897705078125,65.19373290226312,62.24244294114277,1424,1425.0295850431885,-423.3585829426042,
44,0.708827018737793,0.017980098724365234,55.61704723260933,62.07438322307567,1429,1428.6029585043188,136.53057421643544,
45,0.7274959087371826,0.01866888999938965,53.56504859328506,61.856017964572274,1410,1411.8602958504318,-793.4863273511495,
46,0.7485077381134033,0.021011829376220703,47.59223873822762,61.45561048699637,1438,1435.3860295850432,928.3294700155225,
47,0.7677359580993652,0.019228219985961914,52.00689407184218,61.21896402554192,1419,1420.6386029585044,-597.4381219572471,
48,0.7815890312194824,0.013853073120117188,72.18614897425306,61.413349065438524,1419,1419.1638602958506,-155.55420638624057,
49,0.7950179576873779,0.013428926467895508,74.46611628939192,61.63382792325314,1419,1419.0163860295852,-25.439072913892364,
