Index,Time,Difference,Hz,AveHz,0x6103 Linear-Acceleration-X,0x6103 Linear-Acceleration-Y,0x6103 Linear-Acceleration-Z,0x6103 Range,0x6103 Smoothed Range,0x6103 Velocity,
0,7.152557373046875e-07,7.152557373046875e-07,1398101.3333333333,0.0,24.0,-16.0,-22.0,410,424.0,-9786709.333333334,
1,0.027649641036987305,0.02764892578125,36.16777041942605,36.166834812151315,18.0,16.0,-27.0,447,435.5,-4893146.701986755,
2,0.05588889122009277,0.02823925018310547,35.41170510958765,35.78528677772327,27.0,24.0,-14.0,429,432.25,-2446630.895014181,
3,0.08348965644836426,0.027600765228271484,36.23087953285075,35.932594858087676,33.0,3.0,-27.0,415,423.625,-1223471.6931750758,
4,0.10965299606323242,0.026163339614868164,38.22142030491083,36.478711422470965,25.0,18.0,-22.0,433,428.3125,-611646.2651336982,
5,0.13813471794128418,0.028481721878051758,35.11023681368815,36.19654837334456,11.0,49.0,-15.0,424,426.15625,-305860.98579091387,
6,0.1660306453704834,0.02789592742919922,35.847526580287855,36.13790687021366,12.0,44.0,-8.0,433,429.578125,-152869.16001794848,
7,0.19424891471862793,0.02821826934814453,35.43803440467742,36.03623737172272,8.0,18.0,-14.0,490,459.7890625,-75899.27188771297,
8,0.22328662872314453,0.0290377140045166,34.437972625684566,35.8283881383658,9.0,-7.0,-20.0,475,467.39453125,-37818.677481547486,
9,0.2503349781036377,0.027048349380493164,36.97083270897055,35.951827699739326,7.0,-16.0,-20.0,443,455.197265625,-19134.81027423812,
10,0.27674174308776855,0.02640676498413086,37.86908394878925,36.13477276114613,6.0,24.0,0.0,419,437.0986328125,-9910.094459786496,
11,0.3049278259277344,0.02818608283996582,35.47850212737162,36.07411021454932,0.0,35.0,10.0,452,444.54931640625,-4822.877683027632,
12,0.3322718143463135,0.0273439884185791,36.57110969665792,36.115010307473405,-3.0,43.0,14.0,466,455.274658203125,-2215.320015819983,
13,0.3608419895172119,0.028570175170898438,35.00153548300955,36.02684936249613,-9.0,33.0,13.0,452,453.6373291015625,-1136.3145242328435,
14,0.38924074172973633,0.028398752212524414,35.21281472215459,35.96745792279036,-5.0,-6.0,8.0,461,457.31866455078125,-503.342170564702,
15,0.41651082038879395,0.027270078659057617,36.670227926455034,36.01347015666527,-8.0,-8.0,8.0,429,443.1593322753906,-511.2840561948437,
16,0.44376587867736816,0.02725505828857422,36.69043703418594,36.05504787273766,-3.0,31.0,20.0,400,421.5796661376953,-651.5257189193541,
17,0.4735438823699951,0.029778003692626953,33.58183477717818,35.8995240629407,-8.0,64.0,13.0,405,413.28983306884766,-464.95676168389195,
18,0.5015747547149658,0.028030872344970703,35.67495109296589,35.88697363811505,-8.0,63.0,18.0,410,411.6449165344238,-261.8195393007365,
19,0.5264966487884521,0.024921894073486328,40.125361140342484,36.087599120947594,-7.0,69.0,13.0,391,401.3224582672119,-338.00595256436424,
20,0.5543537139892578,0.027857065200805664,35.89753596768258,36.078048176272446,-5.0,17.0,18.0,396,398.66122913360596,-216.76876055311442,
21,0.5827476978302002,0.028393983840942383,35.21872822080223,36.03617839794356,-8.0,-3.0,7.0,443,420.830614566803,282.00439992043175,
22,0.6127526760101318,0.03000497817993164,33.32780294000795,35.9035559718,-20.0,13.0,22.0,438,429.4153072834015,284.05667353987417,
23,0.6395647525787354,0.026812076568603516,37.29662629603941,35.961956795248064,-36.0,43.0,22.0,400,414.70765364170074,-132.24459401311083,
24,0.6660008430480957,0.02643609046936035,37.82707587413533,36.03599042031066,-29.0,40.0,34.0,419,416.8538268208504,-25.530569163191807,
25,0.6947536468505859,0.028752803802490234,34.77921690243619,35.983978081048505,-24.0,17.0,33.0,433,424.9269134104252,127.62253020388975,
26,0.7259657382965088,0.03121209144592285,32.03886550609947,35.81436234306243,-18.0,-13.0,24.0,438,431.4634567052126,168.5229808501899,
27,0.7549009323120117,0.02893519401550293,34.55998945312822,35.76628249392663,-22.0,-17.0,32.0,438,434.7317283526063,140.73720725703714,
28,0.782038688659668,0.02713775634765625,36.84903008152938,35.80385523891287,-21.0,-8.0,32.0,424,429.36586417630315,-28.49484159447921,
