Index,Time,Difference,Hz,AveHz,Position-X,Position-Y,Position-Z,
0,0.0,0.0,0,0,5438,-643,-205,
1,0.06020617485046387,0.06020617485046387,16.609591997560617,16.609591997560617,5985,79,-158,
2,0.12487483024597168,0.06466865539550781,15.463441970210884,16.01603778808354,6106,532,-296,
3,0.18998146057128906,0.06510663032531738,15.359418771994712,15.791014507303851,6197,851,-332,
4,0.2621910572052002,0.07220959663391113,13.848574796364105,15.25605046425918,6285,964,-405,
5,0.33192873001098633,0.06973767280578613,14.33945183093391,15.063474619489876,6272,966,-498,
6,0.3960988521575928,0.06417012214660645,15.583576383341569,15.14773387329289,6310,971,-429,
7,0.45929932594299316,0.06320047378540039,15.822666193856994,15.240605863351123,6360,982,-325,
8,0.5224690437316895,0.06316971778869629,15.83036991466411,15.311911961062227,6381,947,-251,
9,0.5866718292236328,0.06420278549194336,15.575648195598731,15.340774094965619,6397,922,-258,
10,0.6508769989013672,0.06420516967773438,15.57506981165706,15.363885982880436,6346,849,-260,
11,0.7121388912200928,0.061261892318725586,16.32336126343155,15.446425038174686,6330,791,-344,
12,0.7754013538360596,0.0632624626159668,15.80716207762058,15.47585639441264,6289,730,-448,
13,0.8411140441894531,0.06571269035339355,15.21776074944035,15.455692470962797,6281,733,-517,
14,0.9032793045043945,0.062165260314941406,16.086154790212472,15.499081989575117,6273,728,-593,
15,0.9669497013092041,0.06367039680480957,15.705886097516224,15.512699346916092,6257,715,-675,
16,1.029113531112671,0.0621638298034668,16.0865249641397,15.547361409873703,6245,709,-738,
17,1.0922813415527344,0.06316781044006348,15.830847911830757,15.56375574065343,6222,706,-789,
18,1.159471035003662,0.06718969345092773,14.88323504155223,15.524320536341081,6195,702,-845,
19,1.2256824970245361,0.06621146202087402,15.103125191295987,15.501567531660404,6196,684,-871,
20,1.293870449066162,0.06818795204162598,14.665347323960406,15.457498093750266,6168,684,-920,
21,1.359065294265747,0.06519484519958496,15.338636006246183,15.451796237167198,6101,655,-1004,
22,1.42783522605896,0.06876993179321289,14.541238793240929,15.407940355080964,6100,660,-1012,
23,1.4984731674194336,0.07063794136047363,14.156697954954316,15.348956858272613,6117,651,-1003,
24,1.5671133995056152,0.06864023208618164,14.568715308894122,15.31478194722309,6105,651,-1027,
25,1.6381769180297852,0.07106351852416992,14.071917923116667,15.260866958171519,6101,662,-1032,
26,1.7126522064208984,0.07447528839111328,13.427272610861408,15.181132457905633,6089,671,-1046,
27,1.7813079357147217,0.06865572929382324,14.565426808305233,15.15740173759832,6083,676,-1058,
28,1.850369930267334,0.0690619945526123,14.479743981882644,15.132109283658037,6071,679,-1060,
29,1.9218852519989014,0.07151532173156738,13.983017565851105,15.089350402079353,6070,685,-1051,
30,1.9911904335021973,0.0693051815032959,14.428935590514884,15.066364068068879,6070,679,-1047,
31,2.062028169631958,0.07083773612976074,14.116769600996248,15.033742242974812,6095,689,-1032,
32,2.1351449489593506,0.07311677932739258,13.676751208123283,14.987272885429393,6090,674,-1034,
33,2.2040863037109375,0.06894135475158691,14.50508194396893,14.972190492014372,6093,668,-1027,
34,2.276988983154297,0.07290267944335938,13.716916958819528,14.93200022114294,6097,650,-1030,
35,2.3479726314544678,0.0709836483001709,14.087751530764761,14.906476988328015,6076,640,-1038,
36,2.419576406478882,0.07160377502441406,13.965744119762393,14.87863739438154,6094,635,-975,
37,2.4887683391571045,0.06919193267822266,14.452551927556406,14.866791503997979,6091,639,-870,
38,2.552990198135376,0.06422185897827148,15.571022326500003,14.884506813913351,5981,646,-826,
39,2.633200168609619,0.08020997047424316,12.467277996581705,14.81087555170284,5893,713,-660,
40,2.7063944339752197,0.07319426536560059,13.662272515545654,14.77981165563033,5658,854,-461,
41,2.7766473293304443,0.07025289535522461,14.234288778329068,14.76600919638097,5404,1018,-250,
42,2.845717191696167,0.06906986236572266,14.47809458060062,14.759021072985202,5198,1192,66,
43,2.9204490184783936,0.07473182678222656,13.381179653403436,14.723763273362591,4984,1370,455,
44,2.997661590576172,0.07721257209777832,12.951258750111933,14.678107808541153,4734,1593,820,
45,3.0729281902313232,0.07526659965515137,13.286105717299511,14.6440128809559,4441,1815,1072,
46,3.1428987979888916,0.06997060775756836,14.291715222265383,14.636169649953388,4191,2063,1221,
47,3.2105045318603516,0.06760573387145996,14.791644772340147,14.639443593236571,3944,2291,1316,
48,3.278980016708374,0.06847548484802246,14.603766621287086,14.638698545099741,3777,2483,1331,
49,3.360212802886963,0.08123278617858887,12.310300397693087,14.582409768185254,3600,2647,1209,
50,3.431438446044922,0.07122564315795898,14.039887260579363,14.571148743067221,3459,2804,1061,
51,3.4993085861206055,0.0678701400756836,14.734019981171048,14.574307679603498,3392,2952,998,
52,3.5750935077667236,0.07578492164611816,13.195236971670363,14.545074104224806,3322,3064,942,
53,3.650043249130249,0.07494974136352539,13.342274193445773,14.52037589215665,3216,3187,784,
54,3.7207038402557373,0.07066059112548828,14.152160123088551,14.51338303676661,3038,3295,646,
55,3.7972748279571533,0.07657098770141602,13.059776685909291,14.484071470167656,2738,3465,417,
56,3.868197202682495,0.0709223747253418,14.099922681278784,14.477028203516987,2466,3523,39,
57,3.9426450729370117,0.0744478702545166,13.432217692477671,14.457299337253998,2300,3582,-389,
58,4.02292275428772,0.08027768135070801,12.456762367504284,14.417378493828231,2265,3663,-684,
59,4.094110727310181,0.07118797302246094,14.047316668006323,14.410943897153176,2277,3716,-848,
60,4.1659629344940186,0.07185220718383789,13.917456946610478,14.402432509229072,2298,3732,-973,
