Index,Time,Difference,Hz,AveHz,0x6103 Linear-Acceleration-X,0x6103 Linear-Acceleration-Y,0x6103 Linear-Acceleration-Z,0x6103 Range,0x6103 Smoothed Range,0x6103 Velocity,
0,9.5367431640625e-07,9.5367431640625e-07,1048576.0,0.0,-127.0,46.0,-1915.0,1116,1099.5,8650752.0,
1,0.018145084381103516,0.01814413070678711,55.11424141284066,55.11134470343994,-90.0,81.0,-1903.0,1116,1107.75,4325603.346245828,
2,0.037007808685302734,0.01886272430419922,53.01461145659538,54.04264859362719,-80.0,96.0,-1881.0,1130,1118.875,2163096.5668991413,
3,0.05444693565368652,0.01743912696838379,57.34232004921731,55.09951963287165,-120.0,158.0,-1885.0,1126,1122.4375,1081650.4244571584,
4,0.07213187217712402,0.0176849365234375,56.545297670405525,55.453988358679595,-209.0,127.0,-1983.0,1144,1133.21875,541130.0267238338,
5,0.08922100067138672,0.017089128494262695,58.516734796378195,56.040617818395596,-392.0,293.0,-2148.0,1097,1115.109375,270035.1626148153,
6,0.1063387393951416,0.017117738723754883,58.41893115311225,56.42346367963553,-370.0,266.0,-2141.0,1195,1155.0546875,136184.36253782117,
7,0.12407493591308594,0.017736196517944336,56.38187415144305,56.417518562358765,-117.0,65.0,-2015.0,1191,1173.02734375,68598.84729033792,
8,0.14236807823181152,0.018293142318725586,54.66529383398282,56.192371909199764,-73.0,24.0,-1964.0,1205,1189.013671875,34736.37230730875,
9,0.16101574897766113,0.01864767074584961,53.626000460275655,55.895153468799094,28.0,26.0,-1802.0,1162,1175.5068359375,17006.027358553754,
10,0.1853649616241455,0.024349212646484375,41.06908976970077,53.94762803272637,-49.0,81.0,-1849.0,1209,1192.25341796875,8846.89711966541,
11,0.20311307907104492,0.017748117446899414,56.344003976303384,54.157024502358205,-153.0,55.0,-1922.0,1252,1222.126708984375,5265.0389737175265,
12,0.2233109474182129,0.02019786834716797,49.51017517352094,53.73672960836357,-249.0,59.0,-1965.0,1270,1246.0633544921875,3225.073242937898,
13,0.24080896377563477,0.017498016357421875,57.14933507739263,53.98470138392477,-280.0,50.0,-1967.0,1327,1286.5316772460938,2768.9054900104793,
14,0.26023411750793457,0.019425153732299805,51.47964406259589,53.79771159165223,-374.0,20.0,-2008.0,1280,1283.2658386230469,1300.390640065074,
15,0.28015589714050293,0.01992177963256836,50.19631872471816,53.54161791024961,-329.0,5.0,-1957.0,1256,1269.6329193115234,308.0341385777391,
16,0.30117201805114746,0.02101612091064453,47.58252030675682,53.125785401759174,-248.0,27.0,-1889.0,1214,1241.8164596557617,-507.77155892731236,
17,0.31856584548950195,0.017393827438354492,57.49165924199849,53.3641639262305,-181.0,16.0,-1847.0,1214,1227.9082298278809,-653.689384425619,
18,0.33963608741760254,0.021070241928100586,47.460299858557285,52.997901774401086,-250.0,0.0,-1906.0,1219,1223.4541149139404,-432.5415069228519,
