Index,Time,Difference,Hz,AveHz,Position-X,Position-Y,Position-Z,Velocity-X,Velocity-Y,Velocity-Z
0,0.0,0.0,0,0,21301,16484,6127,0,0,0,
1,0.05345726013183594,0.05345726013183594,18.706532986049165,18.706532986049165,14453,16993,-6990,0,0,0,
2,0.10831975936889648,0.05486249923706055,18.227386901916475,18.46385194772036,9770,14360,7836,0,0,0,
3,0.1584925651550293,0.05017280578613281,19.93111575746056,18.928332676460588,4232,12474,2510,0,0,0,
4,0.21225857734680176,0.05376601219177246,18.599110464678,18.844939271709816,1614,9952,3919,0,0,0,
5,0.266585111618042,0.054326534271240234,18.4072113823279,18.755736093634155,-621,8229,2734,0,0,0,
6,0.31749463081359863,0.05090951919555664,19.642691893410763,18.89795737529371,-769,7107,3832,-58217.3179593,-37809.5128988,41389.292797,
7,0.36833667755126953,0.0508420467376709,19.668759701191576,19.004352340191957,-1317,6451,1574,-42267.5666175,-30151.9062305,-23872.9595164,
8,0.420290470123291,0.051953792572021484,19.247872975081457,19.03445490366037,-1306,5337,4250,-21296.7345577,-27445.7917187,6691.28171369,
9,0.4731600284576416,0.052869558334350586,18.91447614666901,19.021048817959695,-1408,5009,1499,-11703.2601876,-19142.6919613,-9371.90259892,
10,0.5244181156158447,0.051258087158203125,19.509116618292772,19.068753924064215,-1104,4211,2535,-1867.35691393,-15534.2444724,-769.366513193,
11,0.577256441116333,0.05283832550048828,18.925656529194114,19.05565571295756,-1124,3553,1768,-1359.37354683,-13609.0523533,-7903.5126779,
12,0.6283688545227051,0.05111241340637207,19.56471888833432,19.097063633293747,-943,2989,1544,1437.91966121,-13310.3686286,-115.341149295,
13,0.6777040958404541,0.04933524131774902,20.26948634059354,19.18241320923118,-676,2497,1292,2464.01671018,-11107.630884,-11569.145125,
14,0.7283122539520264,0.050608158111572266,19.759660049183573,19.222524300575856,-398,2161,1198,3962.84074958,-11174.4261929,-1181.00501547,
15,0.7806625366210938,0.05235028266906738,19.10209360895921,19.21444836449283,-156,1952,1137,3728.50183333,-8884.68949525,-5498.36029852,
16,0.8339920043945312,0.0533294677734375,18.751359084406296,19.18483620429409,34,1818,1143,4505.32929088,-6750.21271129,-2431.63282107,
17,0.8831329345703125,0.04914093017578125,20.349635149821456,19.249650120082244,290,1664,1311,4801.66273683,-5159.93765313,-907.370168436,
18,0.9346961975097656,0.051563262939453125,19.39365243767108,19.25759412304867,349,1821,1136,3973.1773018,-2620.35888392,-604.698203982,
19,0.98488450050354,0.050188302993774414,19.92496140234199,19.291602203391268,453,1652,1630,3333.62772083,-1993.9089423,1692.27635182,
20,1.0346496105194092,0.04976511001586914,20.094399463421645,19.330215559603516,432,1990,1190,2344.29189645,151.501857254,211.305221959,
21,1.084414005279541,0.049764394760131836,20.09468827703172,19.365297661004114,515,1792,1957,1911.7545363,-103.338083043,3235.27690759,
22,1.1340456008911133,0.049631595611572266,20.148455589181918,19.39957262980676,450,2156,1457,642.088703698,1974.42276387,585.905942124,
23,1.1850478649139404,0.05100226402282715,19.606972732669842,19.40849874588845,553,2053,2049,815.334017195,927.24260779,3649.01940049,
24,1.236354112625122,0.05130624771118164,19.490803646941828,19.411914236319685,543,2233,1917,356.957823194,2304.36105862,1138.29883618,
25,1.2870874404907227,0.050733327865600586,19.710908826031176,19.423699753039585,561,2283,2108,509.193520564,1156.5403219,3623.56319285,
26,1.3372223377227783,0.050134897232055664,19.94618629357859,19.443288723606486,547,2379,2119,125.998676813,2311.28822779,637.868301366,
27,1.388660192489624,0.0514378547668457,19.440935173769155,19.443201544932126,530,2449,2167,314.322815136,1151.20731044,2789.61498433,
28,1.439697265625,0.05103707313537598,19.59360007474365,19.4485331524504,528,2495,2220,-98.3559057925,1738.93241441,672.75439562,
29,1.4898567199707031,0.050159454345703125,19.93642102060993,19.464959020066214,533,2559,2213,-39.4537082763,1286.19088981,1167.82976498,
30,1.5398249626159668,0.04996824264526367,20.012711015258944,19.48273390050374,542,2592,2232,-75.0237071608,1220.1223954,489.628404629,
31,1.5917983055114746,0.05197334289550781,19.24063268376821,19.474829124182993,560,2637,2241,51.1966949249,1016.05748389,480.461290834,
32,1.6454493999481201,0.05365109443664551,18.63894875771567,19.447574626730507,574,2691,2214,171.079634803,940.937991418,182.744155358,
33,1.6996867656707764,0.05423736572265625,18.437473624982417,19.41534208920939,586,2742,2237,221.131343918,941.71451634,64.8143594242,
34,1.7530322074890137,0.053345441818237305,18.74574407701556,19.394965965115095,603,2771,2242,262.655239663,795.470154408,108.814313575,
35,1.8064422607421875,0.05341005325317383,18.72306689641011,19.375100306621505,626,2784,2254,313.076601332,715.603660186,81.9962527297,
36,1.858907699584961,0.05246543884277344,19.060166503071944,19.366211677985806,630,2828,2205,262.34632289,715.830681027,-134.920966058,
37,1.9095237255096436,0.05061602592468262,19.756588584967428,19.37655945601035,653,2845,2211,301.186216425,587.122497841,-11.4374512566,
38,1.96114182472229,0.051618099212646484,19.37304967159657,19.376467076969835,707,2859,2298,465.139484119,449.762972247,234.491806043,
39,2.0128509998321533,0.05170917510986328,19.338927721731434,19.375502708969574,743,2869,2248,542.612684394,379.828879076,23.2548293312,
40,2.0656142234802246,0.05276322364807129,18.952594835182214,19.36470011937006,785,2874,2291,615.365193139,348.319920645,143.198189598,
41,2.1162102222442627,0.050595998764038086,19.76440873642297,19.374256663649927,830,2891,2304,774.11927014,243.847570094,383.189038719,
42,2.167839288711548,0.051629066467285156,19.368934370208915,19.374129908385708,870,2930,2208,839.874842436,328.983233212,-11.6111729369,
