Index,Time,Difference,Hz,AveHz,Position-X,Position-Y,Position-Z,Velocity-X,Velocity-Y,Velocity-Z
0,0.0,0.0,0,0,9305,3588,-6287,0,0,0,
1,0.05027627944946289,0.05027627944946289,19.890095507269745,19.890095507269745,8610,1676,-2423,0,0,0,
2,0.10692906379699707,0.05665278434753418,17.65138309646956,18.70398869101636,7905,929,-1846,0,0,0,
3,0.1582202911376953,0.05129122734069824,19.496511427920662,18.960905573035333,7504,597,-1432,0,0,0,
4,0.20908188819885254,0.05086159706115723,19.661199368112165,19.13126017015735,7352,388,-1153,0,0,0,
5,0.25968074798583984,0.050598859786987305,19.76329119292079,19.254411575680788,7292,304,-931,0,0,0,
6,0.3100759983062744,0.05039525032043457,19.843139852299018,19.35009492116046,7304,288,-804,-5143.07539281,-5465.99436847,6375.68075112,
7,0.36291933059692383,0.052843332290649414,18.92386336463019,19.288032931413472,7265,411,-667,-2501.23303633,-2024.43548878,4607.74023411,
8,0.41210246086120605,0.04918313026428223,20.332174764529373,19.41264796934653,7397,404,-705,-421.632147311,-760.514060104,2864.7343093,
9,0.46385931968688965,0.051756858825683594,19.321110722116785,19.402434354612307,7493,472,-740,552.457581911,329.123665819,1618.19135694,
10,0.515887975692749,0.052028656005859375,19.220177432363077,19.384053265772895,7572,531,-706,1088.37203182,882.358754364,874.584668423,
11,0.5680959224700928,0.05220794677734375,19.154172146719276,19.362927218649578,7619,593,-676,1228.21028315,1189.21948051,499.082273787,
12,0.6185226440429688,0.05042672157287598,19.830755774095174,19.401068199479468,7671,651,-674,1573.48954445,930.141602631,-27.1291300767,
13,0.6701946258544922,0.05167198181152344,19.352847809235538,19.39735040910708,7713,726,-713,1225.19022408,1248.4533296,-31.0174740275,
14,0.7231132984161377,0.05291867256164551,18.896921475781344,19.360728160669606,7737,740,-678,941.969820264,1034.62258947,239.352987116,
15,0.7744460105895996,0.051332712173461914,19.48075520772857,19.36868393005244,7749,786,-706,686.212452296,988.611160088,0.0,
16,0.8256180286407471,0.05117201805114746,19.54193010329356,19.37942177248907,7764,785,-718,560.128368989,741.687219627,-162.244079294,
17,0.8763363361358643,0.05071830749511719,19.716746267534127,19.39894455930032,7780,775,-728,423.009976394,481.222358467,-209.564575461,
18,0.9269130229949951,0.05057668685913086,19.77195546211357,19.419297769535376,7783,762,-734,274.779566634,141.315205698,-82.4338699903,
19,0.9777281284332275,0.05081510543823242,19.67918774104554,19.43280493571028,7774,776,-741,145.610446772,141.675029292,-247.931301261,
20,1.0302271842956543,0.05249905586242676,19.047961598023587,19.413193812851677,7758,771,-724,35.1890411597,-58.6484019329,-70.3780823195,
21,1.0822393894195557,0.05201220512390137,19.226256560702254,19.404209646502576,7745,772,-712,-73.8211491165,-50.5092072902,23.3119418263,
22,1.1331663131713867,0.050926923751831055,19.6359788954275,19.414625853488985,7759,747,-730,-81.4532460822,-108.60432811,-7.75745200783,
23,1.1865589618682861,0.053392648696899414,18.729170108732056,19.383781791834053,7742,757,-698,-157.064928873,-19.1542596187,137.910669254,
24,1.2382276058197021,0.051668643951416016,19.35409802781546,19.382543150547907,7756,743,-720,-69.2306289309,-126.922819707,80.769067086,
25,1.289463758468628,0.05123615264892578,19.51746859004188,19.38790434070834,7773,725,-726,57.9082472543,-177.58529158,-7.7210996339,
26,1.3412799835205078,0.05181622505187988,19.298974384930037,19.38446880550385,7774,724,-730,111.477539948,-184.514548879,-69.1929558296,
27,1.3934745788574219,0.05219459533691406,19.159071807052804,19.376026236616834,7774,729,-734,57.9946558632,-69.5935870358,-15.4652415635,
28,1.446718692779541,0.05324411392211914,18.781418758563866,19.354142681466545,7776,737,-747,130.461212499,-76.7418897053,-188.017629778,
29,1.4967536926269531,0.05003499984741211,19.986009854094597,19.37526537790068,7733,771,-719,-88.7645609745,108.061204665,3.85932873802,
30,1.5467870235443115,0.0500333309173584,19.986676514736367,19.39504246115146,7711,785,-712,-241.354262094,233.568640736,54.499349505,
31,1.597625970840454,0.05083894729614258,19.669958824577694,19.40379072812143,7587,867,-598,-732.789517362,560.368454453,517.263188726,
32,1.6480584144592285,0.050432443618774414,19.82850578407689,19.416787487171714,7592,871,-599,-723.155862069,564.220507768,536.406820765,
33,1.698627233505249,0.05056881904602051,19.775031706592614,19.427452562327016,7621,860,-656,-614.245925744,487.433863655,360.621801566,
34,1.7491512298583984,0.050523996353149414,19.79257525493953,19.437999081847515,7625,852,-702,-426.952975399,320.214731549,67.2055609424,
35,1.8004190921783447,0.05126786231994629,19.505396846065487,19.439918267947913,7647,858,-767,-252.474046764,287.97820959,-216.969883937,
36,1.8516297340393066,0.051210641860961914,19.52719129580573,19.44233198365553,7668,833,-793,318.315959899,-133.614106624,-766.316199756,
37,1.9036891460418701,0.05205941200256348,19.208822411416378,19.435946292455363,7666,826,-841,288.693298856,-175.556735791,-944.105112476,
38,1.955101728439331,0.05141258239746094,19.45049156000742,19.436328783941935,7645,832,-864,93.2262855992,-108.763999866,-807.96114186,
39,2.0056352615356445,0.05053353309631348,19.788839978674517,19.445210576393173,7540,906,-802,-331.357905242,210.509728036,-389.832829696,
40,2.0570785999298096,0.05144333839416504,19.43886285796384,19.44505183290753,7536,909,-810,-432.224337745,198.589560586,-167.438256964,
41,2.110093355178833,0.05301475524902344,18.862673142651555,19.43041993823311,7508,911,-804,-620.14239213,302.319416164,-42.634789459,
42,2.1615803241729736,0.051486968994140625,19.42239016077647,19.430228675896792,7491,901,-763,-678.036381943,290.587020833,302.210501666,
43,2.2126834392547607,0.05110311508178711,19.568278732119698,19.433417016255405,7459,898,-743,-718.673313811,255.013111352,467.524037479,
44,2.2653982639312744,0.05271482467651367,18.969995748568532,19.422633406474098,7428,886,-695,-430.108220602,-76.8050393931,410.906960753,
45,2.3169662952423096,0.051568031311035156,19.391859153366745,19.42194847305445,7395,868,-649,-545.262226976,-158.551427702,622.60438683,
46,2.366300344467163,0.049334049224853516,20.269976126269803,19.439628662336247,7372,862,-610,-531.457547941,-191.481028302,758.108561034,
47,2.4173343181610107,0.051033973693847656,19.59479005101564,19.442904378967032,7349,871,-549,-555.091679093,-117.272889949,836.546614972,
48,2.46636700630188,0.04903268814086914,20.394557955440586,19.461823758327096,7308,885,-514,-601.088500505,-51.7493411031,911.584547124,
49,2.516400098800659,0.0500330924987793,19.986771755601513,19.47226119699879,7270,909,-475,-633.794260275,92.2611897868,882.498337091,
50,2.566579818725586,0.05017971992492676,19.92836949859599,19.48117866243766,7205,927,-404,-758.939479759,235.670680557,978.632487057,
51,2.6177778244018555,0.05119800567626953,19.532010803762688,19.482172827884334,7140,956,-338,-925.946684334,375.168053135,1085.59266439,
52,2.668748378753662,0.05097055435180664,19.6191705724416,19.48478935443312,7088,977,-255,-1031.71550558,419.010894988,1162.16229365,
53,2.7186529636383057,0.049904584884643555,20.03823901774837,19.494948678212836,7038,973,-156,-1067.97003925,348.079123905,1416.04916316,
54,2.770596981048584,0.05194401741027832,19.251495164525473,19.490384335711898,6986,976,-43,-1113.63180143,262.722995407,1693.97513457,
55,2.8253049850463867,0.054708003997802734,18.278860987875987,19.46692491292121,0,0,0,-27774.6776957,-3573.50815044,1557.38650785,
56,2.8503737449645996,0.02506875991821289,39.89028588819356,19.64654638674252,6928,990,41,-933.79027136,149.758817105,1669.37034361,
57,2.9079372882843018,0.05756354331970215,17.372106411971554,19.601523124190308,0,0,0,-29957.0501181,-4129.23786194,1077.7437613,
58,2.9355247020721436,0.027587413787841797,36.24841413879526,19.7579669348579,6863,1003,137,-848.856693897,145.518290382,1421.22863607,
59,2.9982659816741943,0.06274127960205078,15.93846995698369,19.678040694393342,0,0,0,-32312.4872599,-4514.31256308,198.88877071,
60,3.0464906692504883,0.048224687576293945,20.736267050314186,19.694791980033038,0,0,0,0.0,0.0,0.0,
61,3.115124464035034,0.0686337947845459,14.570081738000702,19.581882105919593,0,0,0,-26750.6904321,-3822.63041682,-158.310956656,
62,3.182710647583008,0.06758618354797363,14.795923478800749,19.480250285109523,0,0,0,0.0,0.0,0.0,
63,3.251107692718506,0.06839704513549805,14.620514643855577,19.37801080570197,0,0,0,-21714.7715752,-3173.52701295,-433.472782427,
64,3.318957567214966,0.06784987449645996,14.738420777066796,19.28316307270667,0,0,0,0,0,0,
65,3.387450695037842,0.06849312782287598,14.600004873277383,19.188471169548308,0,0,0,0,0,0,
66,3.455704927444458,0.06825423240661621,14.651106088815457,19.098852878277405,0,0,0,0,0,0,
67,3.5268640518188477,0.07115912437438965,14.053011596077235,18.99704638897189,0,0,0,0,0,0,
68,3.59559965133667,0.06873559951782227,14.548501897342334,18.912005393793187,0,0,0,0,0,0,
69,3.665924549102783,0.07032489776611328,14.219714948264873,18.821991308273763,0,0,0,0,0,0,
70,3.7349772453308105,0.06905269622802734,14.481693758890716,18.741747379454257,0,0,0,0,0,0,
71,3.803802967071533,0.06882572174072266,14.529451703640067,18.665530421693052,0,0,0,0,0,0,
72,3.8717153072357178,0.06791234016418457,14.724864399936807,18.596408642299096,0,0,0,0,0,0,
73,3.937760829925537,0.06604552268981934,15.141071783116438,18.538454505724875,0,0,0,0,0,0,
74,4.006807088851929,0.0690462589263916,14.483043912141188,18.468570699569977,0,0,0,0,0,0,
75,4.0718512535095215,0.06504416465759277,15.374169308872313,18.419140418097943,0,0,0,0,0,0,
76,4.138894081115723,0.06704282760620117,14.915838661725902,18.362393071801602,0,0,0,0,0,0,
77,4.205936908721924,0.06704282760620117,14.915838661725902,18.307454836120765,0,0,0,0,0,0,
78,4.271982431411743,0.06604552268981934,15.141071783116438,18.258502054331643,0,0,0,0,0,0,
79,4.338025808334351,0.06604337692260742,15.14156372064143,18.211048871176086,0,0,0,0,0,0,
80,4.404069423675537,0.06604361534118652,15.141509059337851,18.1650179195481,0,0,0,0,0,0,
81,4.470112562179565,0.06604313850402832,15.141618382339669,18.120349068012175,0,0,0,0,0,0,
82,4.536156892776489,0.06604433059692383,15.141345077795025,18.076976158073197,0,0,0,0,0,0,
83,4.605203151702881,0.0690462589263916,14.483043912141188,18.023091982230756,0,0,0,0,0,0,
84,4.674347162246704,0.06914401054382324,14.462568661188714,17.97042390827167,0,0,0,0,0,0,
85,4.74039101600647,0.06604385375976562,15.141454398428927,17.931010271723963,0,0,0,0,0,0,
86,4.810438632965088,0.07004761695861816,14.276003144985891,17.877787570276265,0,0,0,0,0,0,
87,4.878527641296387,0.06808900833129883,14.686658309581002,17.833249372936056,0,0,0,0,0,0,
88,4.946572780609131,0.06804513931274414,14.696126866665265,17.790095062376402,0,0,0,0,0,0,
89,5.0166192054748535,0.07004642486572266,14.276246102737954,17.74103163000103,0,0,0,0,0,0,
90,5.082662343978882,0.06604313850402832,15.141618382339669,17.70725535341089,0,0,0,0,0,0,
91,5.149709224700928,0.0670468807220459,14.914936969934036,17.67090063328476,0,0,0,0,0,0,
92,5.21475076675415,0.06504154205322266,15.37478922596443,17.642262135811357,0,0,0,0,0,0,
93,5.281794786453247,0.06704401969909668,14.915573446940467,17.60765114133675,0,0,0,0,0,0,
94,5.347840070724487,0.06604528427124023,15.141126441262896,17.57718981062677,0,0,0,0,0,0,
95,5.412883281707764,0.06504321098327637,15.37439472748533,17.550720208773377,0,0,0,0,0,0,
96,5.480928182601929,0.06804490089416504,14.69617835957127,17.515281500080974,0,0,0,0,0,0,
97,5.545971155166626,0.06504297256469727,15.374451083171438,17.49017390933143,0,0,0,0,0,0,
98,5.613924503326416,0.06795334815979004,14.715978345151342,17.456593857279717,0,0,0,0,0,0,
99,5.6789939403533936,0.06506943702697754,15.36819812326644,17.432665193835266,0,0,0,0,0,0,
100,5.746180534362793,0.06718659400939941,14.883921632641474,17.40286428558744,0,0,0,0,0,0,
101,5.815039873123169,0.06885933876037598,14.522358448429282,17.368754506193,0,0,0,0,0,0,
102,5.885087490081787,0.07004761695861816,14.276003144985891,17.33194284229451,0,0,0,0,0,0,
103,5.955134153366089,0.07004666328430176,14.276197510525975,17.295999946832453,0,0,0,0,0,0,
104,6.025178670883179,0.07004451751708984,14.276634852342506,17.260898917833345,0,0,0,0,0,0,
105,6.095227003097534,0.07004833221435547,14.275857374303957,17.226593849029747,0,0,0,0,0,0,
106,6.164028644561768,0.0688016414642334,14.534536948800138,17.196545654199518,0,0,0,0,0,0,
107,6.232446670532227,0.06841802597045898,14.616031167455377,17.168217500505722,0,0,0,0,0,0,
108,6.303624629974365,0.07117795944213867,14.049292896811838,17.13299987541282,0,0,0,0,0,0,
109,6.375672101974487,0.07204747200012207,13.879737515263626,17.096236797724227,0,0,0,0,0,0,
110,6.445719957351685,0.07004785537719727,14.275954554427813,17.06558782072733,0,0,0,0,0,0,
111,6.513765096664429,0.06804513931274414,14.696126866665265,17.040835577082895,0,0,0,0,0,0,
112,6.581810712814331,0.06804561614990234,14.696023881935782,17.01659389595385,0,0,0,0,0,0,
113,6.647851943969727,0.06604123115539551,15.142055690133828,16.997971818927528,0,0,0,0,0,0,
114,6.715464115142822,0.0676121711730957,14.790236471476025,16.97574405065159,0,0,0,0,0,0,
115,6.785962820053101,0.07049870491027832,14.184657736233188,16.94674772755388,0,0,0,0,0,0,
116,6.8541624546051025,0.06819963455200195,14.662835168676805,16.92402255830151,0,0,0,0,0,0,
117,6.9223473072052,0.06818485260009766,14.666013958627635,16.901781261136563,0,0,0,0,0,0,
118,6.992741107940674,0.07039380073547363,14.205796384795413,16.874641600273744,0,0,0,0,0,0,
119,7.061075448989868,0.06833434104919434,14.633930533991592,16.852956870333923,0,0,0,0,0,0,
120,7.131776571273804,0.07070112228393555,14.14404704898463,16.82610199586873,0,0,0,0,0,0,
121,7.198062896728516,0.06628632545471191,15.086067799658304,16.810078174642502,0,0,0,0,0,0,
122,7.265869617462158,0.06780672073364258,14.747800648378,16.79083253941081,0,0,0,0,0,0,
123,7.333658218383789,0.06778860092163086,14.751742717866112,16.771984231780447,0,0,0,0,0,0,
124,7.402273178100586,0.06861495971679688,14.574081280925112,16.751610892563445,0,0,0,0,0,0,
125,7.4733054637908936,0.07103228569030762,14.078105333114044,16.726199752658413,0,0,0,0,0,0,
126,7.540792226791382,0.06748676300048828,14.817720624602558,16.709119706592578,0,0,0,0,0,0,
127,7.612580060958862,0.07178783416748047,13.929936898040518,16.682911573084116,0,0,0,0,0,0,
128,7.678762197494507,0.06618213653564453,15.109817427266309,16.6693533030317,0,0,0,0,0,0,
129,7.744801759719849,0.0660395622253418,15.142438355175278,16.656333370715778,0,0,0,0,0,0,
130,7.813312768936157,0.0685110092163086,14.59619426773758,16.63826904726617,0,0,0,0,0,0,
131,7.882141351699829,0.06882858276367188,14.528847752591032,16.619849119014987,0,0,0,0,0,0,
132,7.951650142669678,0.06950879096984863,14.386669456440089,16.60032793591727,0,0,0,0,0,0,
133,8.019145011901855,0.06749486923217773,14.815940994863897,16.585309257109586,0,0,0,0,0,0,
134,8.088476419448853,0.06933140754699707,14.423477546192018,16.566778840795674,0,0,0,0,0,0,
135,8.157804727554321,0.06932830810546875,14.424122372620227,16.54856968370613,0,0,0,0,0,0,
136,8.226418256759644,0.06861352920532227,14.574385133397733,16.53210373642853,0,0,0,0,0,0,
137,8.294185638427734,0.06776738166809082,14.756361768524155,16.51759509279202,0,0,0,0,0,0,
138,8.364620923995972,0.0704352855682373,14.197429483425685,16.49805786226523,0,0,0,0,0,0,
139,8.432690620422363,0.0680696964263916,14.690825029333988,16.48346966072354,0,0,0,0,0,0,
140,8.501234769821167,0.06854414939880371,14.589137202386128,16.46819594925092,0,0,0,0,0,0,
141,8.568960428237915,0.06772565841674805,14.765452612457844,16.45473814248838,0,0,0,0,0,0,
142,8.638040542602539,0.06908011436462402,14.475945924491704,16.438913350737423,0,0,0,0,0,0,
143,8.708717346191406,0.07067680358886719,14.148913776818244,16.420328541554785,0,0,0,0,0,0,
