Index,Time,Difference,Hz,AveHz,Position-X,Position-Y,Position-Z
0,0.0,0.0,0,0,2574,2801,2420,
1,0.04836320877075195,0.04836320877075195,20.67687453783584,20.67687453783584,2578,2787,2432,
2,0.09723114967346191,0.04886794090270996,20.46331360658057,20.569539769063084,2523,2796,2410,
3,0.14559006690979004,0.048358917236328125,20.67870947385028,20.60580136870772,2507,2789,2448,
4,0.19474101066589355,0.049150943756103516,20.345489294410974,20.540100856632506,3098,2615,72546,
5,0.24854016304016113,0.05379915237426758,18.587653445601596,20.11747292204061,-1867,4749,-326,
6,0.30005812644958496,0.05151796340942383,19.41070519524995,19.996125654034255,-1867,4749,-326,
7,0.3554511070251465,0.05539298057556152,18.0528288893193,19.6932851288174,1975,3876,-1262,
8,0.4041922092437744,0.04874110221862793,20.516565167412626,19.792563580004778,1903,3690,-405,
9,0.4491720199584961,0.04497981071472168,22.232196714707488,20.036866946502162,2133,3573,-22,
10,0.5000810623168945,0.05090904235839844,19.642875875763366,19.996758032926945,2147,3606,318,
11,0.5489351749420166,0.04885411262512207,20.469105798183584,20.03879602206566,2167,3625,612,
12,0.5991871356964111,0.05025196075439453,19.899721025563167,20.027132234828244,2272,3599,896,
13,0.6507260799407959,0.051538944244384766,19.402803349215894,19.977684006737153,2312,3590,1142,
14,0.6970751285552979,0.04634904861450195,21.575415890783017,20.083918399176397,2353,3583,1379,
15,0.7432410717010498,0.04616594314575195,21.660989289071136,20.181877147436996,2403,3573,1584,
16,0.7896180152893066,0.046376943588256836,21.56243863067361,20.26296220475389,2354,3603,1763,
17,0.8374090194702148,0.0477910041809082,20.924440009977552,20.300712799528977,2386,3588,1933,
18,0.8865890502929688,0.049180030822753906,20.333456146134306,20.302529107540852,2421,3564,2110,
19,0.9348530769348145,0.0482640266418457,20.719365324006837,20.324049274456026,2466,3539,2300,
20,0.9819660186767578,0.04711294174194336,21.22559031608352,20.367303572226334,2513,3513,2511,
21,1.0269980430603027,0.04503202438354492,22.20641895826936,20.44794548724075,2541,3497,2706,
22,1.0800890922546387,0.05309104919433594,18.835566732530985,20.368690099513888,2540,3493,2837,
23,1.1248891353607178,0.0448000431060791,22.321407094010272,20.446459368304414,2523,3491,2923,
24,1.1756629943847656,0.05077385902404785,19.695174233779895,20.41401329686268,2488,3492,2950,
25,1.2266101837158203,0.05094718933105469,19.628168170416682,20.381373260954412,2469,3503,2996,
26,1.2737460136413574,0.04713582992553711,21.215283608663544,20.412232675548687,2433,3522,2954,
27,1.3199691772460938,0.04622316360473633,21.634174773306373,20.455023091017335,2399,3534,2947,
28,1.3652310371398926,0.04526185989379883,22.093656830416872,20.50934914185583,2357,3553,2892,
29,1.4120121002197266,0.046781063079833984,21.37617091542907,20.538067623844896,2321,3569,2877,
30,1.4571080207824707,0.04509592056274414,22.174954796823616,20.58872751512954,2282,3586,2829,
31,1.5041301250457764,0.047022104263305664,21.266593991633922,20.609918971642532,2244,3609,2782,
32,1.551995038986206,0.04786491394042969,20.892129906355848,20.618622609066477,2204,3632,2725,
33,1.6000301837921143,0.0480351448059082,20.818090671749207,20.624610919394733,2160,3654,2656,
34,1.6471900939941406,0.04715991020202637,21.204450893060265,20.641212039805374,2118,3675,2608,
35,1.6979811191558838,0.050791025161743164,19.68851774138279,20.61271447906295,2086,3695,2560,
36,1.7460861206054688,0.04810500144958496,20.787859263407793,20.617539750855315,2052,3700,2520,
37,1.8006811141967773,0.054594993591308594,18.31669781822628,20.54778034172055,2030,3709,2490,
38,1.844914197921753,0.044233083724975586,22.607512653144827,20.597163837107434,2019,3722,2467,
39,1.892982006072998,0.04806780815124512,20.803944229233522,20.60241453689553,2009,3730,2454,
40,1.940999984741211,0.04801797866821289,20.82553301357484,20.60793421661624,2001,3728,2446,
41,1.9910671710968018,0.05006718635559082,19.973161521355067,20.59197228258989,1998,3730,2442,
42,2.037227153778076,0.046159982681274414,21.66378629092656,20.61625770209778,2001,3739,2441,
43,2.0818381309509277,0.04461097717285156,22.41600752490487,20.654823908119482,2001,3742,2441,
44,2.1299691200256348,0.04813098907470703,20.776635162178763,20.657576481423565,,,,
45,2.150137186050415,0.020168066024780273,49.58333628873048,20.928897138261423,2000,3742,2440,
46,2.2011890411376953,0.05105185508728027,19.58792679110995,20.897796209372675,2566,3454,2193,
47,2.2489089965820312,0.04771995544433594,20.95559374875095,20.899022624495792,2541,3470,2383,
48,2.2969961166381836,0.048087120056152344,20.795589314400175,20.896857270377712,2706,3393,2406,
49,2.344672203063965,0.04767608642578125,20.974875980156824,20.89844368691193,2710,3396,2421,
50,2.3975841999053955,0.052911996841430664,18.89930563378378,20.854324950078045,2708,3400,2419,
51,2.4498400688171387,0.052255868911743164,19.13660648699453,20.817685468188312,2693,3398,2416,
52,2.495371103286743,0.04553103446960449,21.963041508920202,20.838583860937128,2798,3332,2475,
53,2.542558193206787,0.047187089920043945,21.19223714991638,20.84514727788946,2784,3333,2405,
54,2.592409133911133,0.0498509407043457,20.059801999139125,20.830045417457285,2766,3334,2401,
55,2.6432790756225586,0.05086994171142578,19.657974166213606,20.807488890308004,2770,3332,2416,
56,2.691183090209961,0.047904014587402344,20.875077143596585,20.808691985215688,2769,3331,2413,
57,2.7391672134399414,0.04798412322998047,20.840226572592666,20.8092444011176,2746,3352,2400,
58,2.7890830039978027,0.04991579055786133,20.033740602401583,20.795365328627447,2740,3361,2416,
59,2.836320161819458,0.04723715782165527,21.169774942334968,20.801600889143756,2731,3359,2419,
