Index,Time,Difference,Hz,AveHz,Position-X,Position-Y,Position-Z,Velocity-X,Velocity-Y,Velocity-Z
0,0.0,0.0,0,0,1013,1138,2082,0,0,0,
1,0.05173134803771973,0.05173134803771973,19.3306387312941,19.3306387312941,1012,798,2049,0,0,0,
2,0.10712194442749023,0.05539059638977051,18.053605939954803,18.670310837699365,999,602,1904,0,0,0,
3,0.15993714332580566,0.05281519889831543,18.933943653706386,18.75736891141505,985,481,1782,0,0,0,
4,0.21277880668640137,0.0528416633605957,18.924461048395102,18.79886470975137,985,421,1713,0,0,0,
5,0.2627732753753662,0.049994468688964844,20.002212769204355,19.02781016394305,981,388,1625,0,0,0,
6,0.3163876533508301,0.05361437797546387,18.65171317398555,18.96407756893987,980,375,1544,-122.332512726,-1617.0829026,-1930.55996646,
7,0.3693692684173584,0.05298161506652832,18.874471809594954,18.95122469173734,955,389,1467,-168.073546428,-813.628758843,-1669.27590429,
8,0.4216139316558838,0.05224466323852539,19.140710993474194,18.97470505440865,948,417,1396,-141.738608409,-245.169484815,-1478.67845529,
9,0.47386980056762695,0.052255868911743164,19.13660648699453,18.99255869274495,940,465,1320,-170.53809847,166.748362949,-1489.36605997,
10,0.5251119136810303,0.05124211311340332,19.51519832499709,19.0435595526677,927,515,1222,-206.971628174,486.766607002,-1544.62159545,
11,0.5770266056060791,0.05191469192504883,19.262369917243028,19.063245772603786,929,576,1236,-196.477526642,774.352605003,-1186.5701609,
12,0.6289515495300293,0.051924943923950195,19.258566777936444,19.079371072329412,916,643,1186,-150.479205462,980.044056083,-1084.22196756,
13,0.6818842887878418,0.0529327392578125,18.891899682905738,19.06481820120768,907,706,1150,-157.681324415,1111.46104283,-946.087946488,
14,0.7330896854400635,0.05120539665222168,19.529191557519404,19.097254098720533,903,757,1175,-142.322901864,1123.19695525,-557.751912711,
15,0.7845203876495361,0.051430702209472656,19.44363885849914,19.119961999892418,907,806,1171,-77.1107444398,1121.9613316,-196.632398321,
16,0.8379688262939453,0.05344843864440918,18.709620437239884,19.093789050319003,915,838,1205,-53.5840872745,1002.78791899,-118.650478965,
17,0.8909444808959961,0.05297565460205078,18.876595438261713,19.08087469479985,902,903,1161,-53.5730876694,994.928771004,-95.6662279811,
18,0.941821813583374,0.05087733268737793,19.655118442325264,19.111895414181298,909,925,1237,7.66532691557,839.353297254,333.441720827,
19,0.993659257888794,0.05183744430541992,19.291074500280562,19.12124286988367,927,954,1246,91.8050287736,753.56627785,271.589876789,
20,1.0443613529205322,0.05070209503173828,19.72305087933791,19.15045969871488,920,994,1201,50.3894214097,728.708555771,116.283280176,
21,1.0978655815124512,0.053504228591918945,18.690111535427985,19.128024736024418,918,990,1223,11.5986237887,587.663605296,69.5917427324,
22,1.1494834423065186,0.05161786079406738,19.373139154091668,19.139031664393066,923,998,1289,80.9008390394,365.979986131,493.10987605,
23,1.2036490440368652,0.05416560173034668,18.4619014292191,19.108560019174124,922,1035,1220,49.5262183498,419.068001421,-64.7650547651,
24,1.2543613910675049,0.05071234703063965,19.71906367094023,19.1332419595402,924,1025,1263,-11.4285693525,270.476141344,64.7618929978,
25,1.3068716526031494,0.05251026153564453,19.043896769037975,19.12965205894753,923,1040,1223,11.4829200294,176.071440451,84.2080802158,
