Index,Time,Difference,Hz,AveHz,Position-X,Position-Y,Position-Z
0,0.0,0.0,0,0,11633,5653,-6076,
1,0.06500649452209473,0.06500649452209473,15.38307837319416,15.38307837319416,9438,6089,-2326,
2,0.12601256370544434,0.06100606918334961,16.391811722774136,15.871433301484291,6300,5149,-3478,
3,0.18701863288879395,0.06100606918334961,16.391811722774136,16.041182387339322,4101,4765,-2799,
4,0.2470247745513916,0.060006141662597656,16.664960823890276,16.192707825618644,2664,4100,-2140,
5,0.3060305118560791,0.0590057373046875,16.947504525471942,16.338240163292653,error,error,error,
6,0.36603665351867676,0.060006141662597656,16.664960823890276,16.391801045940483,1765,3526,-1008,
7,0.43004322052001953,0.06400656700134277,15.623396892681672,16.27743367639982,1695,3212,-669,
8,0.5050506591796875,0.07500743865966797,13.332011036096171,15.8399951660171,1669,2925,-335,
9,0.563056468963623,0.05800580978393555,17.239652436969262,15.984187192743995,1752,2736,-1,
10,0.6230621337890625,0.06000566482543945,16.66509325259653,16.049763671540177,1866,2616,310,
11,0.6860687732696533,0.06300663948059082,15.871343214678982,16.033378035231674,2019,2560,585,
12,0.7460746765136719,0.060005903244018555,16.665027037980316,16.084180816958877,2161,2552,783,
13,0.8110811710357666,0.06500649452209473,15.38307837319416,16.027988892158284,2279,2562,927,
14,0.8780879974365234,0.06700682640075684,14.923852594050105,15.943732337614662,2373,2581,1013,
15,0.9420943260192871,0.06400632858276367,15.623455088615893,15.921972551709128,2416,2589,1055,
16,1.0031003952026367,0.06100606918334961,16.391811722774136,15.950547000599908,2427,2584,1051,
17,1.0641064643859863,0.06100606918334961,16.391811722774136,15.97584505776815,error,error,error,
18,1.1241123676300049,0.060005903244018555,16.665027037980316,16.012634073184216,2453,2641,1027,
19,1.1871187686920166,0.06300640106201172,15.871403272435558,16.00513823981947,2469,2653,1026,
20,1.2491250038146973,0.062006235122680664,16.127410380931508,16.01120779659529,2473,2678,996,
21,1.3111310005187988,0.06200599670410156,16.127472392260604,16.016706180915982,2480,2719,944,
22,1.3751375675201416,0.06400656700134277,15.623396892681672,15.998399374452234,2496,2762,925,
23,1.4371438026428223,0.062006235122680664,16.127410380931508,16.0039656140912,2517,2809,870,
24,1.503150224685669,0.06600642204284668,15.150040996781662,15.966468025522039,2503,2806,863,
25,1.5671567916870117,0.06400656700134277,15.623396892681672,15.952456150279653,2492,2800,879,
26,1.6281628608703613,0.06100606918334961,16.391811722774136,15.968918481595429,2503,2831,827,
27,1.690169095993042,0.062006235122680664,16.127410380931508,15.974732980274036,2510,2841,840,
28,1.7521753311157227,0.062006235122680664,16.127410380931508,15.980135950305042,2529,2885,787,
29,1.8171815872192383,0.06500625610351562,15.383134792559122,15.958779355880203,2537,2913,818,
