 ,time,force,units, ,x ,y ,z, 
b',7942,4.216,lbs,\r\n'b',3454,3290,914,\r\n'
b',8030,4.256,lbs,\r\n'b',3476,3269,952,\r\n'
b',8118,4.331,lbs,\r\n'b',3467,3276,909,\r\n'
b',8206,4.374,lbs,\r\n'b',3463,3282,941,\r\n'
b',8294,4.37,lbs,\r\n'b',3454,3278,1056,\r\n'
b',8382,4.383,lbs,\r\n'b',3462,3279,971,\r\n'
b',8470,4.421,lbs,\r\n'b',3479,3301,1000,\r\n'
b',8558,4.406,lbs,\r\n'b',3470,3252,961,\r\n'
b',8646,4.41,lbs,\r\n'b',3441,3332,966,\r\n'
b',8734,4.398,lbs,\r\n'b',3448,3266,979,\r\n'
b',8822,4.349,lbs,\r\n'b',3431,3273,944,\r\n'
b',8910,4.311,lbs,\r\n'b',3441,3273,1028,\r\n'
b',8998,4.277,lbs,\r\n'b',3438,3307,1008,\r\n'
b',9086,4.319,lbs,\r\n'b',3423,3293,960,\r\n'
b',9174,4.329,lbs,\r\n'b',3455,3267,1038,\r\n'
b',9262,4.361,lbs,\r\n'b',3454,3258,997,\r\n'
b',9350,4.403,lbs,\r\n'b',3434,3290,998,\r\n'
b',9438,4.53,lbs,\r\n'b',3439,3240,1002,\r\n'
b',9526,4.573,lbs,\r\n'b',3456,3283,986,\r\n'
b',9614,4.601,lbs,\r\n'b',3413,3285,891,\r\n'
b',9702,4.555,lbs,\r\n'b',3444,3291,975,\r\n'
b',9790,4.525,lbs,\r\n'b',3449,3269,999,\r\n'
b',9878,4.461,lbs,\r\n'b',3469,3255,1008,\r\n'
b',9966,4.371,lbs,\r\n'b',3428,3261,902,\r\n'
b',10054,4.32,lbs,\r\n'b',3417,3283,889,\r\n'
b',10142,4.271,lbs,\r\n'b',3389,3287,869,\r\n'
b',10230,4.242,lbs,\r\n'b',3421,3301,916,\r\n'
b',10318,4.301,lbs,\r\n'b',3439,3306,908,\r\n'
b',10406,4.356,lbs,\r\n'b',3425,3251,953,\r\n'
