 ,time,force,units, ,x ,y ,z, 
b'.33,,-842,-34,76,772,56,-699,24,793,-84,307.56,-80.94,28.56, 11087,-5471,9262,5459,125,38,-58,-968,-73,135,,\r\n'
b',2081, 4209,435,79.33,,-842,-34,76,772,56,-699,24,793,-84,307.56,-80.94,28.56, 11087,-5471,9262,5459,125,38,-58,-968,-73,135,,\r\n'
b',27,1.568,lbs,\r\n'b',92,1.550,lbs,\r\n'b',157,1.529,lbs,\r\n'b',222,1.528,lbs,\r\n'b',287,1.520,lbs,\r\n'b',352,1.477,lbs,\r\n'b',417,1.470,lbs,\r\n'b',482,1.555,lbs,\r\n'b',547,1.404,lbs,\r\n'b',612,1.358,lbs,\r\n'b',677,1.473,lbs,\r\n'b',742,1.435,lbs,\r\n'b',807,1.488,lbs,\r\n'b',872,1.594,lbs,\r\n'b',937,1.559,lbs,\r\n'b',1002,1.483,lbs,\r\n'b',1067,1.437,lbs,\r\n'b',1132,1.430,lbs,\r\n'b',1197,1.476,lbs,\r\n'b',1262,1.390,lbs,\r\n'b',1327,1.321,lbs,\r\n'b',1392,1.401,lbs,\r\n'b',1457,1.651,lbs,\r\n'b',1522,1.529,lbs,\r\n'b',1587,1.475,lbs,\r\n'b',1652,1.443,lbs,\r\n'b',1717,1.439,lbs,\r\n'b',1782,1.524,lbs,\r\n'b',1847,1.515,lbs,\r\n'b',1912,1.416,lbs,\r\n'b',1977,1.446,lbs,\r\n'b',2042,1.442,lbs,\r\n'b',2107,1.373,lbs,\r\n'b',2172,1.426,lbs,\r\n'b',2237,1.489,lbs,\r\n'b',2302,1.479,lbs,\r\n'b',1862, 4149,872,77.53,,-912,-128,182,777,-38,-772,41,-718,10,307.75,-70.94,12.25, 11943,-4829,8257,5857,14,-60,-129,-927,-68,312,,\r\n'
b',2367,1.472,lbs,\r\n'b',1802, 4145,962,77.12,,-695,-88,372,748,-51,-779,93,1190,32,307.94,-72.62,12.81, 11827,-4880,8449,5776,262,-32,134,-936,-65,285,,\r\n'
b',2432,1.424,lbs,\r\n'b',1921, 4144,961,77.90,,-1014,-32,206,760,-49,-772,16,1063,146,308.06,-78.81,18.19, 11336,-5149,9111,5514,-52,26,25,-962,-59,180,,\r\n'
b',2497,1.438,lbs,\r\n'b',1939, 4150,836,78.01,,-1062,-13,177,825,-56,-681,96,-952,-50,307.94,-78.56,16.25, 11418,-5057,9029,5566,-102,61,-62,-958,-54,198,,\r\n'
b',2562,1.510,lbs,\r\n'b',2627,1.532,lbs,\r\n'b',1913, 4147,914,77.85,,-954,-37,305,825,-49,-734,63,-772,14,307.88,-73.12,11.00, 11799,-4804,8539,5764,-33,5,10,-938,-54,279,,\r\n'
b',2692,1.444,lbs,\r\n'b',1891, 4149,941,77.72,,-1054,-29,166,771,-62,-760,6,-38,-28,307.94,-72.37,10.44, 11861,-4751,8468,5785,-159,0,-196,-934,-53,291,,\r\n'
b',2757,1.370,lbs,\r\n'b',1914, 4250,2076,78.49,,-783,-78,276,760,-68,-785,-49,612,-30,308.00,-73.12,11.44, 11798,-4818,8540,5753,155,-22,-1,-938,-56,278,,\r\n'
b',2822,1.319,lbs,\r\n'b',2081, 4291,230,79.82,,-840,-66,184,742,-62,-747,-56,766,-23,308.13,-77.56,16.06, 11448,-5065,8989,5561,101,-9,-36,-957,-58,202,,\r\n'
b',2887,1.310,lbs,\r\n'b',1933, 4209,728,78.40,,-823,-91,199,777,-73,-713,-91,-342,-1,307.88,-77.87,16.75, 11406,-5116,9004,5576,160,-32,21,-958,-59,197,,\r\n'
b',2952,1.407,lbs,\r\n'b',1887, 4150,928,77.67,,-898,-57,114,790,-67,-708,2,-645,-62,307.88,-76.00,15.69, 11556,-5057,8801,5645,53,6,-112,-951,-63,227,,\r\n'
b',3017,1.532,lbs,\r\n'b',1553, 3990,307,74.45,,-890,-62,159,766,-54,-745,52,-760,-9,308.00,-73.12,13.69, 11790,-4925,8494,5747,48,5,-116,-938,-67,276,,\r\n'
b',3082,1.581,lbs,\r\n'b',1911, 4140,897,77.79,,-861,-68,233,748,-48,-766,-37,-87,-43,307.94,-71.25,12.44, 11932,-4831,8292,5827,64,-24,-48,-928,-68,307,,\r\n'
b',3147,1.615,lbs,\r\n'b',1857, 4156,653,77.57,,-907,-40,305,737,-25,-777,112,298,-21,308.31,-71.75,12.94, 11912,-4838,8360,5766,23,28,6,-931,-68,298,,\r\n'
b',3212,1.588,lbs,\r\n'b',1869, 4135,902,77.49,,-1065,-44,413,742,-32,-796,60,533,78,308.44,-74.06,13.25, 11743,-4889,8630,5671,-112,17,126,-943,-61,261,,\r\n'
