Index,Time,Difference,Hz,AveHz,0x6104 Angular-Vel-X,0x6104 Angular-Vel-Y,0x6104 Angular-Vel-Z,0x6104 Range,0x6104 Smoothed Range,0x6104 Velocity,
0,0.0009999275207519531,0.0009999275207519531,1000.072484501669,0.0,0.0625,1.0625,0.0,428,428.0,,
1,0.05700564384460449,0.05600571632385254,17.855320235840022,17.542122719041068,0.0,1.0625,0.0,395,395.0,-589.2255677827206,
2,0.11201143264770508,0.055005788803100586,18.17990472929336,17.855320235840022,0.0625,0.75,0.125,390,390.0,-90.89952364646679,
3,0.16701674461364746,0.05500531196594238,18.18006232960136,17.962270830627006,-0.3125,0.25,0.0,386,386.0,-72.72024931840544,
4,0.23102307319641113,0.06400632858276367,15.623455088615893,17.314287896253898,-0.1875,-0.125,0.0625,372,372.0,-218.72837124062252,
5,0.2880287170410156,0.05700564384460449,17.542122719041068,17.359380173498444,-0.25,0.0,0.125,329,329.0,-754.3112769187659,
6,0.3460347652435303,0.05800604820251465,17.23958157791981,17.33929825165791,0.0,0.0,0.0,315,315.0,-241.35414209087733,
7,0.4020400047302246,0.056005239486694336,17.855472258762127,17.411202660534027,-0.25,-0.25,0.4375,287,287.0,-499.9532232453396,
8,0.5060505867004395,0.048004865646362305,20.83122172170432,15.808696225730614,-0.5625,-0.8125,0.125,236,236.0,-1062.3923078069204,
9,0.5590560436248779,0.05300545692443848,18.865982070969455,16.098564898153445,-0.25,-0.5625,-0.0625,189,189.0,-886.7011573355643,
10,0.6150615215301514,0.05600547790527344,17.855396246977488,16.25853617882318,0.0,-0.875,0.3125,175,175.0,-249.97554745768485,
11,0.6650664806365967,0.05000495910644531,19.998016554144257,16.539699895070463,-0.3125,-1.0625,0.25,132,132.0,-859.914711828203,
12,0.7190718650817871,0.05400538444519043,18.51667218506501,16.688179002296415,-0.5,-1.3125,0.125,128,128.0,-74.06668874026003,
13,0.7790780067443848,0.060006141662597656,16.664960823890276,16.686390691895497,-0.3125,-1.5625,0.0625,100,100.0,-466.6189030689277,
14,0.8310830593109131,0.05200505256652832,19.228900859598856,16.845488357815892,-0.1875,-1.4375,0.0,90,90.0,-192.28900859598855,
15,0.8850886821746826,0.05400562286376953,18.51659043952745,16.94745430835774,-0.0625,-1.25,0.0,95,95.0,92.58295219763725,
16,0.940093994140625,0.05500531196594238,18.18006232960136,17.01957474435968,0.25,-1.625,-0.1875,62,62.0,-599.9420568768448,
