b',494,-0.135,kg,\r\n'b'----------POZYX POSITIONING V1.1----------\r\n'
b',56494,-0.131,kg,\r\n'b'POS ID 0x614E, x(mm):, 1337, y(mm):, 3857, z(mm):, 1147,\r\n'
b',57494,-0.127,kg,\r\n'b'POS ID 0x614E, x(mm):, 1320, y(mm):, 3885, z(mm):, 1061,\r\n'
b',58494,-0.132,kg,\r\n'b'POS ID 0x614E, x(mm):, 1332, y(mm):, 3869, z(mm):, 1064,\r\n'
b',59494,-0.133,kg,\r\n'b'POS ID 0x614E, x(mm):, 1371, y(mm):, 3851, z(mm):, 1028,\r\n'
b',60494,-0.134,kg,\r\n'b'POS ID 0x614E, x(mm):, 1355, y(mm):, 3889, z(mm):, 1191,\r\n'
b',61494,-0.134,kg,\r\n'b'POS ID 0x614E, x(mm):, 1346, y(mm):, 3854, z(mm):, 1120,\r\n'
b',62494,-0.135,kg,\r\n'b'POS ID 0x614E, x(mm):, 1342, y(mm):, 3860, z(mm):, 1119,\r\n'
b',63494,-0.133,kg,\r\n'b'POS ID 0x614E, x(mm):, 1342, y(mm):, 3848, z(mm):, 1037,\r\n'
b',64494,-0.133,kg,\r\n'b'POS ID 0x614E, x(mm):, 1254, y(mm):, 3969, z(mm):, 562,\r\n'
b',65494,-0.133,kg,\r\n'b'POS ID 0x614E, x(mm):, 1331, y(mm):, 3812, z(mm):, 989,\r\n'
b',66494,-0.133,kg,\r\n'b'POS ID 0x614E, x(mm):, 1341, y(mm):, 3849, z(mm):, 951,\r\n'
b',67494,-0.136,kg,\r\n'b'POS ID 0x614E, x(mm):, 1293, y(mm):, 3831, z(mm):, 979,\r\n'
b',68494,-0.132,kg,\r\n'b'POS ID 0x614E, x(mm):, 1283, y(mm):, 3843, z(mm):, 1054,\r\n'
b',69494,-0.132,kg,\r\n'b'POS ID 0x614E, x(mm):, 1311, y(mm):, 3820, z(mm):, 1003,\r\n'
b',70494,-0.136,kg,\r\n'b'POS ID 0x614E, x(mm):, 1329, y(mm):, 3843, z(mm):, 1054,\r\n'
b',71494,-0.133,kg,\r\n'b'POS ID 0x614E, x(mm):, 1355, y(mm):, 3836, z(mm):, 985,\r\n'
b',72494,-0.133,kg,\r\n'b'POS ID 0x614E, x(mm):, 1294, y(mm):, 3852, z(mm):, 1096,\r\n'
b',73494,-0.137,kg,\r\n'b'POS ID 0x614E, x(mm):, 1313, y(mm):, 3833, z(mm):, 1032,\r\n'
b',74494,-0.134,kg,\r\n'b'POS ID 0x614E, x(mm):, 1311, y(mm):, 3812, z(mm):, 1011,\r\n'
b',75494,-0.134,kg,\r\n'b'POS ID 0x614E, x(mm):, 1301, y(mm):, 3855, z(mm):, 1076,\r\n'
b',76494,-0.137,kg,\r\n'b'POS ID 0x614E, x(mm):, 1315, y(mm):, 3850, z(mm):, 1029,\r\n'
b',77494,-0.135,kg,\r\n'b'POS ID 0x614E, x(mm):, 1327, y(mm):, 3859, z(mm):, 1105,\r\n'
b',78494,-0.131,kg,\r\n'b'POS ID 0x614E, x(mm):, 1297, y(mm):, 3843, z(mm):, 1020,\r\n'
b',79494,-0.133,kg,\r\n'b'POS ID 0x614E, x(mm):, 1321, y(mm):, 3899, z(mm):, 1135,\r\n'
b',80494,-0.137,kg,\r\n'b'POS ID 0x614E, x(mm):, 1322, y(mm):, 3867, z(mm):, 1072,\r\n'
b',81494,-0.136,kg,\r\n'b'POS ID 0x614E, x(mm):, 1336, y(mm):, 3864, z(mm):, 1018,\r\n'
b',82494,-0.135,kg,\r\n'b'POS ID 0x614E, x(mm):, 1316, y(mm):, 3851, z(mm):, 1058,\r\n'
b',83494,-0.137,kg,\r\n'b'POS ID 0x614E, x(mm):, 1294, y(mm):, 3836, z(mm):, 1007,\r\n'
b',84494,-0.136,kg,\r\n'b'POS ID 0x614E, x(mm):, 1341, y(mm):, 3830, z(mm):, 1020,\r\n'
b',85494,-0.136,kg,\r\n'b'POS ID 0x614E, x(mm):, 1348, y(mm):, 3867, z(mm):, 1024,\r\n'
b',86494,-0.138,kg,\r\n'b'POS ID 0x614E, x(mm):, 1333, y(mm):, 3850, z(mm):, 964,\r\n'
b',87494,-0.140,kg,\r\n'b'POS ID 0x614E, x(mm):, 1310, y(mm):, 3854, z(mm):, 1024,\r\n'
b',88494,-0.138,kg,\r\n'b'POS ID 0x614E, x(mm):, 1308, y(mm):, 3832, z(mm):, 1079,\r\n'
b',89494,-0.137,kg,\r\n'b'POS ID 0x614E, x(mm):, 1309, y(mm):, 3872, z(mm):, 1101,\r\n'
b',90494,-0.139,kg,\r\n'b'POS ID 0x614E, x(mm):, 1323, y(mm):, 3840, z(mm):, 1050,\r\n'
b',91494,-0.137,kg,\r\n'b'POS ID 0x614E, x(mm):, 1331, y(mm):, 3869, z(mm):, 989,\r\n'
b',92494,-0.137,kg,\r\n'b'POS ID 0x614E, x(mm):, 1314, y(mm):, 3844, z(mm):, 999,\r\n'
b',93494,-0.136,kg,\r\n'b'POS ID 0x614E, x(mm):, 1323, y(mm):, 3832, z(mm):, 951,\r\n'
b',94494,-0.139,kg,\r\n'b'POS ID 0x614E, x(mm):, 1315, y(mm):, 3848, z(mm):, 1027,\r\n'
b',95494,-0.135,kg,\r\n'b'ERROR positioning on ID 0x614E, error code: 0x0\r\n'
b',96494,-0.136,kg,\r\n'b'POS ID 0x614E, x(mm):, 1346, y(mm):, 3838, z(mm):, 985,\r\n'
b',97494,-0.137,kg,\r\n'b'POS ID 0x614E, x(mm):, 1310, y(mm):, 3845, z(mm):, 1031,\r\n'
b',98494,-0.135,kg,\r\n'b'POS ID 0x614E, x(mm):, 1298, y(mm):, 3831, z(mm):, 982,\r\n'
b',99494,-0.135,kg,\r\n'b'POS ID 0x614E, x(mm):, 1330, y(mm):, 3837, z(mm):, 1038,\r\n'
b',100494,-0.136,kg,\r\n'b'POS ID 0x614E, x(mm):, 1313, y(mm):, 3813, z(mm):, 939,\r\n'
b',101494,-0.137,kg,\r\n'b'POS ID 0x614E, x(mm):, 1297, y(mm):, 3842, z(mm):, 992,\r\n'
b',102494,-0.135,kg,\r\n'b'POS ID 0x614E, x(mm):, 1301, y(mm):, 3826, z(mm):, 1024,\r\n'
b',103494,-0.136,kg,\r\n'b'POS ID 0x614E, x(mm):, 1330, y(mm):, 3831, z(mm):, 963,\r\n'
b',104494,-0.137,kg,\r\n'b'POS ID 0x614E, x(mm):, 1345, y(mm):, 3830, z(mm):, 987,\r\n'
b',105494,-0.135,kg,\r\n'b'POS ID 0x614E, x(mm):, 1339, y(mm):, 3842, z(mm):, 895,\r\n'
b',106494,-0.136,kg,\r\n'b'POS ID 0x614E, x(mm):, 1331, y(mm):, 3853, z(mm):, 1054,\r\n'
b',107494,-0.138,kg,\r\n'b'POS ID 0x614E, x(mm):, 1321, y(mm):, 3837, z(mm):, 992,\r\n'
b',108494,-0.134,kg,\r\n'b'POS ID 0x614E, x(mm):, 1331, y(mm):, 3829, z(mm):, 940,\r\n'
b',109494,-0.137,kg,\r\n'b'POS ID 0x614E, x(mm):, 1316, y(mm):, 3828, z(mm):, 971,\r\n'
