b',495,-0.159,kg,\r\n'
b',1495,-0.159,kg,\r\n'
b',2495,-0.159,kg,\r\n'
b',3495,-0.159,kg,\r\n'
b',4495,-0.159,kg,\r\n'
b',5495,-0.160,kg,\r\n'
b',6495,-0.160,kg,\r\n'
b',7495,-0.159,kg,\r\n'
b',8495,-0.184,kg,\r\n'
b',9495,-0.085,kg,\r\n'
b',10496,1.234,kg,\r\n'
b',11496,4.886,kg,\r\n'
b',12496,6.810,kg,\r\n'
b',13496,7.718,kg,\r\n'
b',14496,10.794,kg,\r\n'
b',15496,13.483,kg,\r\n'
b',16496,2.707,kg,\r\n'
b',17496,-0.521,kg,\r\n'
b',18496,6.410,kg,\r\n'
b',19496,7.384,kg,\r\n'
b',20496,5.797,kg,\r\n'
b',21496,5.596,kg,\r\n'
b',22496,4.856,kg,\r\n'
b',23496,4.931,kg,\r\n'
b',24496,5.233,kg,\r\n'
b',25496,5.142,kg,\r\n'
b',26496,4.819,kg,\r\n'
b',27496,4.647,kg,\r\n'
b',28496,-0.027,kg,\r\n'
b',29496,-0.137,kg,\r\n'
b',30496,-0.119,kg,\r\n'
b',31496,-0.132,kg,\r\n'
b',32496,-0.136,kg,\r\n'
b',33496,-0.137,kg,\r\n'
b',34496,-0.139,kg,\r\n'
b',35496,-0.138,kg,\r\n'
b',36496,-0.139,kg,\r\n'
b',37496,-0.139,kg,\r\n'
b',38496,-0.140,kg,\r\n'
b',39496,-0.140,kg,\r\n'
b',40496,-0.140,kg,\r\n'
b',41496,-0.140,kg,\r\n'
b',42496,-0.140,kg,\r\n'
b',43496,-0.141,kg,\r\n'
b',44496,-0.140,kg,\r\n'
